"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 속초시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 속초시 교동","9**","다가구","8m미만","156.24","155.9","201506","11~20","14,000","2002","만천7길"
"강원도 속초시 교동","9**","다가구","12m미만","362.64","196.1","201510","1~10","42,800","2005","만천8길"
"강원도 속초시 교동","9**","다가구","8m미만","412.11","200.6","201501","11~20","22,000","1993","만천7길"
"강원도 속초시 교동","9**","다가구","8m미만","362.7","203.5","201502","21~28","33,000","2006","밤골4길"
"강원도 속초시 교동","9**","다가구","8m미만","390.55","204.3","201504","1~10","26,300","1999","밤골3길"
"강원도 속초시 교동","9**","다가구","12m미만","485.76","210.9","201508","21~31","29,800","1993","만천8길"
"강원도 속초시 교동","9**","다가구","8m미만","434.17","221.5","201504","1~10","38,000","2003","밤골3길"
"강원도 속초시 교동","9**","다가구","12m미만","389.76","229.2","201507","1~10","68,500","2012","만천8길"
"강원도 속초시 교동","9**","다가구","8m미만","530.58","253.5","201505","21~31","33,000","2001","밤골2길"
"강원도 속초시 교동","9**","다가구","12m미만","653.93","389.7","201511","21~30","49,000","1996","만천1길"
"강원도 속초시 교동","9**","다가구","8m미만","655.22","454.7","201503","11~20","66,500","2005","밤골6길"
"강원도 속초시 교동","6**","단독","8m미만","32.6","50","201511","11~20","3,650","1999","중앙로46번길"
"강원도 속초시 교동","6**","단독","8m미만","34.77","53","201508","1~10","2,800","2012","중앙로"
"강원도 속초시 교동","6**","단독","8m미만","26.22","60","201506","1~10","2,700","1974","중앙로46번길"
"강원도 속초시 교동","6**","단독","8m미만","42.57","63","201507","11~20","1,950","1984","중앙로"
"강원도 속초시 교동","7**","단독","25m미만","20.65","66","201505","11~20","4,500","1990","교동로"
"강원도 속초시 교동","6**","단독","8m미만","78.27","68","201508","11~20","5,000","null","교동로5길"
"강원도 속초시 교동","6**","단독","8m미만","31.8","69","201505","11~20","2,200","1992","교동로3길"
"강원도 속초시 교동","6**","단독","8m미만","25.9","76","201503","11~20","4,500","1973","번영로31번길"
"강원도 속초시 교동","6**","단독","8m미만","63.41","76","201510","1~10","3,800","1979","교동로"
"강원도 속초시 교동","6**","단독","8m미만","84.38","77","201508","11~20","9,500","1999","번영로31번길"
"강원도 속초시 교동","6**","단독","8m미만","56.3","86","201508","11~20","12,500","1971","청초호반로"
"강원도 속초시 교동","6**","단독","8m미만","29.67","89","201506","11~20","4,500","1983","중앙로46번길"
"강원도 속초시 교동","6**","단독","8m미만","29.67","89","201506","21~30","4,800","1983","중앙로46번길"
"강원도 속초시 교동","7**","단독","8m미만","26.44","90","201509","1~10","6,300","1999","교동로9길"
"강원도 속초시 교동","6**","단독","8m미만","47.7","92","201503","11~20","4,800","1990","수복로"
"강원도 속초시 교동","7**","단독","8m미만","39.91","97","201505","21~31","6,500","2011","만천7길"
"강원도 속초시 교동","6**","단독","8m미만","60.24","97","201510","21~31","2,600","1996","수복로"
"강원도 속초시 교동","6**","단독","8m미만","39.93","99","201501","21~31","2,800","1983","중앙로55번길"
"강원도 속초시 교동","7**","단독","25m미만","48.77","99","201504","1~10","5,900","1969","교동로"
"강원도 속초시 교동","6**","단독","12m미만","52.83","101","201507","1~10","8,300","1980","청초호반로"
"강원도 속초시 교동","6**","단독","8m미만","78.12","106","201502","11~20","5,800","1982","중앙로46번길"
"강원도 속초시 교동","6**","단독","8m미만","37.62","109","201507","11~20","4,200","1966","중앙로50번길"
"강원도 속초시 교동","4**","단독","8m미만","60.03","111","201509","11~20","2,300","1959","중앙로60번길"
"강원도 속초시 교동","7**","단독","8m미만","66.69","129","201507","11~20","8,500","1995","교동로"
"강원도 속초시 교동","6**","단독","8m미만","47","132","201509","1~10","7,400","1984","교동로7길"
"강원도 속초시 교동","6**","단독","8m미만","47.53","153","201501","11~20","2,500","1983","번영로23번길"
"강원도 속초시 교동","7**","단독","8m미만","81","166","201503","11~20","10,500","1979","만천1길"
"강원도 속초시 교동","7**","단독","8m미만","186.54","168","201512","1~10","18,000","1993","만리공원길"
"강원도 속초시 교동","6**","단독","8m미만","81.12","171","201505","1~10","7,500","1977","교동로"
"강원도 속초시 교동","7**","단독","8m미만","69","180","201509","11~20","9,200","1979","만천5길"
"강원도 속초시 교동","7**","단독","8m미만","26.44","182","201503","1~10","6,000","1968","교동로6길"
"강원도 속초시 교동","6**","단독","25m미만","52.64","191","201512","1~10","16,500","1983","수복로"
"강원도 속초시 교동","9**","단독","12m미만","230.58","198.4","201507","1~10","36,500","2000","먹거리1길"
"강원도 속초시 교동","9**","단독","8m미만","113.14","201.8","201510","11~20","13,100","2001","먹거리1길"
"강원도 속초시 교동","9**","단독","8m미만","162.76","204","201512","1~10","27,000","2013","밤골길"
"강원도 속초시 교동","9**","단독","8m미만","380.76","204.3","201510","1~10","33,800","1997","먹거리8길"
"강원도 속초시 교동","9**","단독","8m미만","115.96","205.1","201512","11~20","23,000","2008","먹거리6길"
"강원도 속초시 교동","9**","단독","8m미만","324.72","207.5","201512","1~10","33,500","1996","먹거리7길"
"강원도 속초시 교동","9**","단독","8m미만","333.96","207.5","201512","1~10","33,500","1996","먹거리7길"
"강원도 속초시 교동","9**","단독","12m미만","99","217.3","201506","11~20","10,000","2003","만천1길"
"강원도 속초시 교동","7**","단독","25m미만","49.6","218","201507","1~10","12,000","1970","교동로"
"강원도 속초시 교동","7**","단독","8m미만","126.72","222","201503","11~20","12,935","1989","만천길"
"강원도 속초시 교동","7**","단독","8m미만","94.92","225","201505","1~10","21,000","1990","만리공원길"
"강원도 속초시 교동","7**","단독","8m미만","131.31","227","201509","11~20","20,000","2003","만천5길"
"강원도 속초시 교동","9**","단독","8m미만","47.7","227.1","201507","1~10","9,300","1995","밤골1길"
"강원도 속초시 교동","9**","단독","12m미만","228.11","236.1","201501","21~31","17,000","1993","만천7길"
"강원도 속초시 교동","9**","단독","25m이상","553.22","241.6","201502","11~20","57,000","1994","동해대로"
"강원도 속초시 교동","6**","단독","8m미만","119.86","264","201505","1~10","16,700","1996","교동로3길"
"강원도 속초시 교동","7**","단독","8m미만","76.79","265","201504","1~10","13,500","1973","교동로"
"강원도 속초시 교동","7**","단독","8m미만","84.5","270","201511","21~30","15,400","1984","만리공원길"
"강원도 속초시 교동","7**","단독","8m미만","84.5","284","201505","11~20","16,300","1984","만리공원1길"
"강원도 속초시 교동","7**","단독","8m미만","84.5","284","201511","1~10","16,300","1984","만리공원1길"
"강원도 속초시 교동","6**","단독","25m미만","81.69","297","201508","11~20","23,000","1983","수복로"
"강원도 속초시 교동","7**","단독","8m미만","134.22","300","201512","1~10","23,000","1983","만천길"
"강원도 속초시 교동","7**","단독","8m미만","200.35","300","201504","11~20","19,500","1983","만천길"
"강원도 속초시 교동","7**","단독","8m미만","114.84","379","201512","21~31","17,462","1985","만천5길"
"강원도 속초시 교동","9**","단독","8m미만","126.86","407.8","201509","21~30","27,500","2002","밤골5길"
"강원도 속초시 교동","9**","단독","8m미만","114.3","425.6","201509","1~10","36,000","2008","밤골길"
"강원도 속초시 교동","7**","단독","8m미만","156.18","430","201510","1~10","21,000","1980","만천5길"
"강원도 속초시 교동","6**","단독","8m미만","112.66","555","201510","1~10","38,500","2009","중앙로"
"강원도 속초시 교동","6**","단독","8m미만","159.12","561","201509","1~10","19,000","null","번영로31번길"
"강원도 속초시 교동","7**","단독","8m미만","312.75","618","201511","21~30","24,500","1992","만천길"
"강원도 속초시 금호동","6**","다가구","8m미만","186","159.12","201512","11~20","19,000","1997","번영로67번길"
"강원도 속초시 금호동","4**","단독","25m미만","52.02","72","201510","21~31","5,000","1985","중앙로147번길"
"강원도 속초시 금호동","4**","단독","8m미만","38.69","82.81","201504","11~20","1,500","1984","수복로177번길"
"강원도 속초시 금호동","4**","단독","8m미만","73.8","86","201510","11~20","7,800","1994","번영로72번길"
"강원도 속초시 금호동","4**","단독","8m미만","48.04","88","201501","1~10","8,200","1997","청학로2길"
"강원도 속초시 금호동","4**","단독","8m미만","30.03","99","201505","11~20","4,500","1983","번영로72번길"
"강원도 속초시 금호동","4**","단독","8m미만","30.03","99","201510","11~20","4,800","1983","번영로72번길"
