"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 철원군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 철원군 갈말읍 군탄리","9**","단독","8m미만","77.94","169","201511","21~30","4,500","1994","아랫군탄길"
"강원도 철원군 갈말읍 군탄리","9**","단독","8m미만","68","211","201504","1~10","4,500","1993","아랫군탄길"
"강원도 철원군 갈말읍 군탄리","9**","단독","12m미만","96.69","328","201503","21~31","13,000","1995","명성로"
"강원도 철원군 갈말읍 군탄리","1***","단독","8m미만","123.1","505","201507","11~20","11,500","2006","동온동길"
"강원도 철원군 갈말읍 군탄리","1***","단독","8m미만","102.45","537","201509","11~20","4,800","1982","동온동길"
"강원도 철원군 갈말읍 내대리","7**","단독","8m미만","106.88","558","201504","1~10","4,000","1958","개현길"
"강원도 철원군 갈말읍 내대리","8**","단독","8m미만","95.02","3283","201504","11~20","24,500","1976","두루미로"
"강원도 철원군 갈말읍 문혜리","1***","단독","8m미만","124.3","96","201510","11~20","15,400","1958","문혜1길"
"강원도 철원군 갈말읍 문혜리","9**","단독","8m미만","75.58","181","201505","21~31","4,028","1983","문혜4길"
"강원도 철원군 갈말읍 문혜리","6**","단독","12m미만","66","269","201507","21~31","5,500","1983","두루미로"
"강원도 철원군 갈말읍 문혜리","6**","단독","12m미만","730.53","538","201504","1~10","26,000","1995","두루미로"
"강원도 철원군 갈말읍 문혜리","4**","단독","8m미만","86.63","576","201507","1~10","5,500","2001","태봉로"
"강원도 철원군 갈말읍 문혜리","4**","단독","8m미만","82.5","621","201501","1~10","5,000","1983","호국로"
"강원도 철원군 갈말읍 신철원리","6**","다가구","8m미만","188.16","165","201511","1~10","11,000","1991","삼부연로61번안길"
"강원도 철원군 갈말읍 신철원리","5**","단독","8m미만","22.05","96","201510","1~10","2,500","1958","명성로174번길"
"강원도 철원군 갈말읍 신철원리","5**","단독","8m미만","83.87","264","201509","1~10","3,550","1976","명성로174번길"
"강원도 철원군 갈말읍 신철원리","5**","단독","8m미만","170.6","362","201511","1~10","13,500","1989","군탄로110번길"
"강원도 철원군 갈말읍 신철원리","6*","단독","8m미만","80.64","743","201507","1~10","8,500","1996","용화동길"
"강원도 철원군 갈말읍 정연리","4**","단독","8m미만","76.56","534","201503","1~10","5,500","1995","null"
"강원도 철원군 갈말읍 정연리","1***","단독","12m미만","65.03","615","201512","1~10","5,500","1971","금강산로"
"강원도 철원군 갈말읍 지경리","3**","단독","8m미만","99.65","228","201512","21~31","5,000","2001","지경안길"
"강원도 철원군 근남면 마현리","1***","단독","8m미만","99.75","498","201503","21~31","7,500","1998","마현1길"
"강원도 철원군 근남면 마현리","1***","단독","8m미만","109.86","719","201510","11~20","8,000","1995","신마현2길"
"강원도 철원군 근남면 마현리","1***","단독","-","175.05","820","201512","1~10","3,200","1979","신마현1길"
"강원도 철원군 근남면 마현리","1***","단독","8m미만","99.12","914","201510","21~31","4,147","1995","신마현1길"
"강원도 철원군 근남면 육단리","3**","단독","-","100.8","314","201506","21~30","2,767","1992","하오재로"
"강원도 철원군 근남면 육단리","1**","단독","8m미만","184","495","201510","11~20","7,000","2001","잣골길"
"강원도 철원군 김화읍 도창리","2**","단독","8m미만","80.01","407","201510","11~20","8,000","2001","도창3길"
"강원도 철원군 김화읍 도창리","2**","단독","8m미만","98.85","508","201510","11~20","9,000","2007","도창1길"
"강원도 철원군 김화읍 생창리","3*","단독","12m미만","49.59","445","201512","11~20","6,000","1996","생창길"
"강원도 철원군 김화읍 생창리","8*","단독","12m미만","99.17","658","201505","11~20","11,600","1995","생창길"
"강원도 철원군 김화읍 청양리","7**","단독","8m미만","109.03","247","201509","1~10","800","1995","null"
"강원도 철원군 김화읍 청양리","2***","단독","12m미만","239","293","201511","11~20","10,000","1995","청양로"
"강원도 철원군 김화읍 청양리","3***","단독","8m미만","64.14","350.4","201505","11~20","8,300","1998","청하길"
"강원도 철원군 김화읍 청양리","2***","단독","8m미만","99","354","201504","1~10","6,600","1997","청양로94번길"
"강원도 철원군 김화읍 청양리","1***","단독","8m미만","127.92","446","201505","11~20","4,800","1986","청양로"
"강원도 철원군 김화읍 청양리","3***","단독","8m미만","133.92","481.5","201503","11~20","8,000","1997","null"
