"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 강릉시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 강릉시 강동면 모전리","5**","단독","8m미만","101.13","462","201504","11~20","9,800","2006","둔지길"
"강원도 강릉시 강동면 모전리","1*","단독","12m미만","74.8","660","201505","21~31","15,000","2002","임곡로"
"강원도 강릉시 강동면 모전리","1*","단독","8m미만","1479.05","12660","201503","21~31","113,000","1999","임곡로"
"강원도 강릉시 강동면 상시동리","3**","단독","8m미만","84.05","175","201508","21~31","8,000","2003","풍호길"
"강원도 강릉시 강동면 상시동리","2**","단독","8m미만","59.7","375","201508","11~20","4,000","1978","시동1길"
"강원도 강릉시 강동면 상시동리","1**","단독","8m미만","133.78","852.8","201505","1~10","26,700","2005","와천로"
"강원도 강릉시 강동면 상시동리","2**","단독","8m미만","137.32","1199","201510","11~20","14,650","2013","시동윗길"
"강원도 강릉시 강동면 심곡리","8*","단독","12m미만","139.23","86","201508","11~20","6,000","1995","헌화로"
"강원도 강릉시 강동면 심곡리","9*","단독","12m미만","35.7","119","201510","21~31","1,800","1980","헌화로"
"강원도 강릉시 강동면 심곡리","1**","단독","8m미만","212.07","129","201504","21~30","30,000","1998","헌화로"
"강원도 강릉시 강동면 안인진리","5*","단독","8m미만","99.28","330","201507","21~31","8,000","2000","갯목길"
"강원도 강릉시 강동면 안인진리","1*","단독","-","16.77","697","201504","1~10","14,500","1960","율곡로"
