"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 횡성군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 횡성군 갑천면 구방리","2**","단독","8m미만","53.61","324","201505","1~10","6,280","2014","태기로구방6길"
"강원도 횡성군 갑천면 구방리","5*","단독","8m미만","77.2","335","201502","1~10","10,500","1999","태기로"
"강원도 횡성군 갑천면 구방리","5*","단독","8m미만","86.5","389","201505","1~10","12,000","1999","태기로"
"강원도 횡성군 갑천면 구방리","2**","단독","8m미만","86.52","403","201502","1~10","11,000","2007","태기로구방6길"
"강원도 횡성군 갑천면 구방리","1**","단독","8m미만","128.4","466","201509","1~10","8,700","2014","태기로구방6길"
"강원도 횡성군 갑천면 구방리","6**","단독","8m미만","118.42","557","201506","1~10","6,000","1997","태기로구방6길"
"강원도 횡성군 갑천면 구방리","5*","단독","8m미만","195.5","849","201512","11~20","28,000","2000","태기로"
"강원도 횡성군 갑천면 매일리","2*","단독","8m미만","68.58","222","201504","11~20","4,000","1992","갑천로"
"강원도 횡성군 갑천면 매일리","2*","단독","8m미만","68.58","222","201505","11~20","5,100","1992","갑천로"
"강원도 횡성군 갑천면 매일리","1*","단독","8m미만","99.72","598","201504","21~30","13,050","2010","갑천로"
"강원도 횡성군 갑천면 병지방리","4**","단독","8m미만","52.07","466","201510","1~10","3,800","1998","null"
"강원도 횡성군 갑천면 삼거리","*","단독","8m미만","134.65","331","201503","21~31","17,800","2008","외갑천로786번길"
"강원도 횡성군 갑천면 삼거리","3*","단독","8m미만","128.58","579","201503","11~20","10,000","2001","외갑천로"
"강원도 횡성군 갑천면 상대리","2**","단독","8m미만","56.79","304","201511","21~30","11,450","2010","갑천로760번길"
"강원도 횡성군 갑천면 상대리","4**","단독","8m미만","69.5","415","201507","1~10","13,432","2011","갑천로807번길"
"강원도 횡성군 갑천면 상대리","4**","단독","8m미만","98.63","430","201507","21~31","15,150","2010","갑천로807번길"
"강원도 횡성군 갑천면 상대리","4**","단독","8m미만","99.47","495","201510","11~20","13,300","2010","갑천로807번길"
"강원도 횡성군 갑천면 상대리","*","단독","8m미만","145.34","630","201508","21~31","26,000","2011","갑천로1029번길"
"강원도 횡성군 갑천면 상대리","*","단독","8m미만","146.6","655","201511","21~30","27,500","2011","갑천로1029번길"
"강원도 횡성군 갑천면 율동리","3**","단독","8m미만","129.65","98","201509","11~20","15,000","2004","외갑천로"
"강원도 횡성군 갑천면 율동리","1**","단독","8m미만","148.53","607","201506","21~30","14,350","2003","율동로"
"강원도 횡성군 갑천면 전촌리","*","단독","12m미만","39","317","201507","1~10","4,000","2007","어답산로"
"강원도 횡성군 갑천면 중금리","5**","단독","-","103.35","934","201503","11~20","14,500","2015","태기로중금3길"
"강원도 횡성군 갑천면 추동리","2**","단독","8m미만","144.39","618.5","201503","11~20","1,410","2008","외갑천로"
"강원도 횡성군 갑천면 포동리","1**","단독","8m미만","112.5","14.78","201506","1~10","19,600","2009","null"
"강원도 횡성군 갑천면 포동리","5**","단독","8m미만","71.22","328","201512","11~20","9,400","2008","청정로"
"강원도 횡성군 갑천면 포동리","3*","단독","8m미만","96.05","640","201510","11~20","18,000","2008","정포로430번길"
"강원도 횡성군 갑천면 포동리","3*","단독","8m미만","96.05","640","201510","1~10","19,500","2008","정포로430번길"
"강원도 횡성군 갑천면 하대리","3**","단독","8m미만","93.72","440","201507","21~31","17,680","2010","갑천로483번길"
"강원도 횡성군 갑천면 하대리","1***","단독","8m미만","93.49","494","201510","11~20","12,023","2011","갑천로439번길"
"강원도 횡성군 갑천면 하대리","1***","단독","8m미만","106.36","607","201510","21~31","13,500","2014","갑천로"
"강원도 횡성군 갑천면 하대리","1**","단독","8m미만","149.63","650","201509","11~20","23,500","2009","갑천로566번길"
"강원도 횡성군 갑천면 하대리","5**","단독","8m미만","40.64","794","201505","1~10","9,000","2015","갑천로566번길"
"강원도 횡성군 갑천면 하대리","5**","단독","8m미만","155.08","990","201509","1~10","23,380","2014","갑천로566번길"
"강원도 횡성군 갑천면 화전리","1**","단독","8m미만","195.16","808","201508","11~20","30,000","2009","외갑천로694번길"
"강원도 횡성군 강림면 강림리","1*","단독","8m미만","77.89","231","201501","1~10","9,300","2014","강림동길"
"강원도 횡성군 강림면 강림리","2***","단독","8m미만","93.77","423","201504","21~30","21,830","2002","강림서길"
"강원도 횡성군 강림면 강림리","9*","단독","8m미만","84.61","425","201508","21~31","15,200","2014","강림동길"
"강원도 횡성군 강림면 강림리","1***","단독","8m미만","99.13","430","201507","1~10","14,200","2014","강림서길"
"강원도 횡성군 강림면 강림리","1***","단독","8m미만","112.66","465","201509","1~10","23,200","2008","강림안길"
"강원도 횡성군 강림면 강림리","1***","단독","8m미만","84.94","495","201503","1~10","17,500","2014","강림서길"
"강원도 횡성군 강림면 강림리","6**","단독","8m미만","100.15","512","201501","1~10","5,840","1999","null"
"강원도 횡성군 강림면 강림리","4**","단독","-","120.77","634","201506","21~30","15,984","2015","주천강로"
"강원도 횡성군 강림면 강림리","5**","단독","8m미만","168.67","648","201503","1~10","24,100","2010","주천강로강림3길"
"강원도 횡성군 강림면 강림리","1***","단독","8m미만","119.89","660","201508","1~10","17,191","2011","강림길"
"강원도 횡성군 강림면 강림리","7**","단독","12m미만","122.02","660","201506","1~10","18,000","2010","주천강로"
"강원도 횡성군 강림면 강림리","6**","단독","8m미만","135.44","661","201512","11~20","5,200","1998","태종로강림7길"
