"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 화천군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 화천군 간동면 간척리","9**","단독","8m미만","138.71","488","201510","21~31","13,500","1997","새말길"
"강원도 화천군 간동면 간척리","1*","단독","8m미만","60","608","201512","1~10","5,000","2014","간척리길"
"강원도 화천군 간동면 간척리","4**","단독","-","99.51","660","201511","11~20","4,140","1999","간척리길"
"강원도 화천군 간동면 도송리","3**","단독","8m미만","99.36","659","201507","21~31","28,000","2010","도송길"
"강원도 화천군 간동면 도송리","1**","단독","8m미만","83.34","869","201502","11~20","13,388","1993","가래울길"
"강원도 화천군 간동면 방천리","1***","단독","8m미만","93","660","201512","11~20","3,500","null","null"
"강원도 화천군 간동면 오음리","1**","단독","8m미만","50.4","150","201509","1~10","2,500","2002","null"
"강원도 화천군 간동면 오음리","3**","단독","8m미만","46.08","309","201501","11~20","2,050","1955","동림길"
"강원도 화천군 간동면 오음리","3**","단독","8m미만","84","486","201503","1~10","8,200","1996","죽엽산길"
"강원도 화천군 간동면 오음리","6**","단독","8m미만","113.2","535","201503","11~20","9,500","1983","오동나무길"
"강원도 화천군 간동면 오음리","5*","단독","8m미만","82.09","693","201511","11~20","14,000","2008","동림길"
"강원도 화천군 간동면 유촌리","3**","단독","-","68.67","661","201512","21~31","7,700","2015","온수길"
"강원도 화천군 사내면 광덕리","2**","단독","8m미만","96","100","201509","21~30","4,000","2015","가화로"
"강원도 화천군 사내면 광덕리","9**","단독","8m미만","80","394","201507","21~31","5,000","1996","하오재로"
"강원도 화천군 사내면 광덕리","2**","단독","8m미만","88.76","660","201507","21~31","7,000","2007","가화로"
"강원도 화천군 사내면 명월리","*","다가구","8m미만","217","91","201511","11~20","5,604","2004","수피령로"
"강원도 화천군 사내면 명월리","6**","단독","12m미만","68.5","422","201508","11~20","5,180","1961","박달로"
"강원도 화천군 사내면 명월리","5*","단독","8m미만","76.84","475","201510","21~31","5,000","1997","수피령로"
"강원도 화천군 사내면 명월리","1*","단독","12m미만","100.47","664","201506","1~10","8,700","1998","수피령로"
"강원도 화천군 사내면 사창리","4**","단독","8m미만","29.58","174","201505","1~10","5,000","1978","창안산길"
"강원도 화천군 사내면 사창리","3**","단독","8m미만","108.56","209","201505","11~20","8,000","1960","사내로1길"
"강원도 화천군 사내면 사창리","3**","단독","12m미만","51.71","228","201511","21~30","6,400","1978","null"
"강원도 화천군 사내면 사창리","3**","단독","8m미만","180.18","274","201502","1~10","14,000","1995","사내로3길"
"강원도 화천군 사내면 사창리","8**","단독","12m미만","86","367","201512","1~10","7,000","1992","포화로"
"강원도 화천군 사내면 삼일리","6**","다가구","12m미만","263.65","1323","201505","21~31","48,000","2013","수밀리길"
"강원도 화천군 사내면 삼일리","3*","단독","8m미만","80.18","209","201505","21~31","6,500","1960","null"
"강원도 화천군 사내면 삼일리","6**","단독","8m미만","167.51","669","201502","1~10","14,620","1996","수밀리길"
"강원도 화천군 사내면 삼일리","3**","단독","8m미만","195.36","838","201512","21~31","7,000","1993","화악산로"
"강원도 화천군 사내면 삼일리","1**","단독","8m미만","68.68","892","201504","1~10","900","1990","작은방단길"
"강원도 화천군 사내면 용담리","1**","단독","8m미만","74.96","298","201507","11~20","4,661","2012","돈내미길"
"강원도 화천군 사내면 용담리","2*","단독","8m미만","71.13","434","201510","1~10","17,434","2010","물안골길"
"강원도 화천군 상서면 구운리","2**","단독","8m미만","67.04","231","201508","1~10","6,000","1993","구운리길"
"강원도 화천군 상서면 마현리","9*","단독","8m미만","81.18","496","201510","21~31","4,900","1987","영서로"
"강원도 화천군 상서면 봉오리","3**","단독","8m미만","91.52","327","201502","1~10","2,800","2014","다파로"
"강원도 화천군 상서면 산양리","7**","단독","12m미만","79.29","168","201511","11~20","4,000","1994","영서로"
"강원도 화천군 상서면 산양리","5**","단독","12m미만","59.8","259","201507","21~31","7,500","1981","영서로"
"강원도 화천군 상서면 신대리","8**","단독","8m미만","61.5","238","201506","21~30","3,400","1997","영서로"
"강원도 화천군 상서면 파포리","5**","단독","8m미만","66.73","322","201507","21~31","2,250","1994","계파로"
"강원도 화천군 상서면 파포리","1**","단독","12m미만","97.74","660","201510","1~10","5,600","1995","다파로"
"강원도 화천군 하남면 거례리","7*","단독","12m미만","99.8","775","201504","21~30","5,394","2008","춘화로"
"강원도 화천군 하남면 용암리","7**","단독","8m미만","81.01","218","201504","11~20","8,000","2004","용화산로"
"강원도 화천군 하남면 용암리","6**","단독","8m미만","110.39","560","201506","11~20","12,000","1995","용화산로"
"강원도 화천군 하남면 원천리","4**","단독","8m미만","47.74","201","201511","11~20","5,000","1975","원천새싹길"
"강원도 화천군 하남면 원천리","5**","단독","8m미만","71.06","426","201508","1~10","8,200","1985","호수마을길"
"강원도 화천군 화천읍 동촌리","4**","단독","8m미만","40","455","201510","21~31","5,717","2014","호음로"
"강원도 화천군 화천읍 동촌리","1***","단독","8m미만","110.18","660","201505","1~10","9,500","null","비수구미길"
"강원도 화천군 화천읍 상리","3*","단독","8m미만","44.9","202","201511","1~10","5,400","1954","상승로5길"
"강원도 화천군 화천읍 상리","3*","단독","12m미만","64","221","201503","11~20","11,000","1999","상승로8길"
"강원도 화천군 화천읍 신읍리","7**","단독","8m미만","99.83","330","201512","11~20","5,000","2009","노신로"
"강원도 화천군 화천읍 신읍리","1***","단독","8m미만","73.08","469","201509","1~10","2,500","1985","노신로"
"강원도 화천군 화천읍 중리","2**","단독","8m미만","41.42","149","201512","11~20","7,000","1954","산수화로4길"
"강원도 화천군 화천읍 중리","2**","단독","8m미만","102","238","201506","21~30","11,100","1998","산수화로2길"
"강원도 화천군 화천읍 풍산리","5**","단독","8m미만","77.32","429.67","201507","21~31","13,000","2010","평화로"
"강원도 화천군 화천읍 풍산리","7**","단독","8m미만","128.85","492","201506","21~30","5,314","1998","평화로"
"강원도 화천군 화천읍 풍산리","7**","단독","12m미만","90.71","670","201505","21~31","4,000","1954","평화로"
"강원도 화천군 화천읍 풍산리","1***","단독","8m미만","97.9","1000","201508","21~31","15,500","2000","호음로"
"강원도 화천군 화천읍 하리","4*","단독","8m미만","111.96","66","201508","21~31","24,000","1981","상승로"
"강원도 화천군 화천읍 하리","9*","단독","8m미만","39.67","245","201504","11~20","18,000","1954","상승로2길"
