"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 인제군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 인제군 기린면 방동리","9**","단독","8m미만","97.74","523","201508","11~20","15,900","2012","오류동길"
"강원도 인제군 기린면 방동리","2**","단독","8m미만","266.49","786","201503","1~10","27,643","2008","방태산길"
"강원도 인제군 기린면 북리","7**","단독","8m미만","96","227","201507","21~31","7,700","1960","내린천로"
"강원도 인제군 기린면 북리","1***","단독","12m미만","102.74","659","201503","1~10","15,000","2012","내린천로"
"강원도 인제군 기린면 북리","1***","단독","8m미만","35","660","201504","11~20","3,960","2006","운이덕길"
"강원도 인제군 기린면 서리","1***","다가구","8m미만","198.8","994","201509","1~10","17,100","2005","봉덕동길"
"강원도 인제군 기린면 서리","4**","단독","8m미만","61.02","476","201503","1~10","4,405","1960","머구너미길"
"강원도 인제군 기린면 서리","4**","단독","8m미만","36.75","619","201511","11~20","6,247","1977","대내로"
"강원도 인제군 기린면 진동리","2**","다가구","-","152.89","879","201504","21~30","17,500","1998","설피밭길"
"강원도 인제군 기린면 진동리","8**","단독","8m미만","92.49","376","201511","11~20","6,253","2003","꿩밭길"
"강원도 인제군 기린면 진동리","2**","단독","8m미만","95.12","634","201504","21~30","32,500","2007","설피밭길"
"강원도 인제군 기린면 현리","7**","단독","8m미만","38.82","117","201511","1~10","1,600","1994","하마로길"
"강원도 인제군 기린면 현리","4**","단독","8m미만","58.88","174","201509","11~20","5,800","1960","기린로62번길"
"강원도 인제군 기린면 현리","4**","단독","12m미만","66.54","183","201505","11~20","3,500","1960","null"
"강원도 인제군 기린면 현리","1***","단독","8m미만","87.8","272","201510","21~31","4,811","2001","어은골길"
"강원도 인제군 기린면 현리","1***","단독","8m미만","99","393","201510","21~31","6,912","1997","어은골길"
"강원도 인제군 기린면 현리","1***","단독","8m미만","66","491","201510","21~31","3,788","2007","null"
"강원도 인제군 남면 관대리","7**","단독","8m미만","70.02","285","201501","11~20","13,432","1994","관대두무로"
"강원도 인제군 남면 관대리","7**","단독","8m미만","50.32","317","201509","21~30","3,900","2015","관대두무로"
"강원도 인제군 남면 관대리","7**","단독","12m미만","83.08","559","201503","11~20","14,800","1960","관대두무로"
"강원도 인제군 남면 신남리","3**","단독","8m미만","70","93","201503","11~20","7,000","1994","신남로68번길"
"강원도 인제군 남면 신남리","3**","단독","12m미만","72","103","201502","1~10","6,500","1985","신남로58번길"
"강원도 인제군 남면 신남리","3**","단독","8m미만","82.35","117","201503","21~31","6,500","1995","신남로54번길"
"강원도 인제군 남면 신남리","3**","단독","8m미만","36.8","145","201512","21~31","2,000","1979","신남로54번길"
"강원도 인제군 남면 신남리","3**","단독","12m미만","205.74","152","201505","21~31","23,000","1993","신남로46번길"
"강원도 인제군 남면 신남리","5**","단독","8m미만","98.94","288.5","201503","11~20","11,000","2008","신남로82번길"
"강원도 인제군 남면 신남리","6**","단독","8m미만","134.4","399.4","201505","1~10","14,800","2002","신남로82번길"
"강원도 인제군 남면 신남리","1**","단독","12m미만","73.56","683","201511","21~30","6,500","2012","신남로"
