"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 평창군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 평창군 대관령면 수하리","6*","단독","8m미만","415.17","4798","201509","11~20","44,760","1990","수하1길"
"강원도 평창군 대관령면 용산리","6**","단독","8m미만","163","703","201511","21~30","25,000","1999","올림픽로"
"강원도 평창군 대관령면 유천리","7**","단독","12m미만","198.86","775","201510","1~10","28,200","2007","경강로"
"강원도 평창군 대관령면 유천리","6**","단독","8m미만","90.29","1233","201503","11~20","6,000","1980","골말길"
"강원도 평창군 대관령면 차항리","1**","단독","8m미만","78.2","640","201509","1~10","16,500","2012","차항길"
"강원도 평창군 대관령면 차항리","1**","단독","8m미만","78.2","640","201505","21~31","15,500","2012","차항길"
"강원도 평창군 대관령면 횡계리","3**","단독","8m미만","50.77","117","201504","1~10","7,500","1974","해당화1길"
"강원도 평창군 대관령면 횡계리","3**","단독","8m미만","80.95","150","201510","21~31","14,000","2000","해당화1길"
"강원도 평창군 대관령면 횡계리","2**","단독","8m미만","83.7","192","201506","21~30","7,500","1995","오목길"
"강원도 평창군 대관령면 횡계리","4*","단독","8m미만","54.45","408","201511","21~30","4,000","1978","대관령마루길"
"강원도 평창군 대관령면 횡계리","6*","단독","8m미만","75.29","442","201509","1~10","13,042","2014","솔바위길"
"강원도 평창군 대관령면 횡계리","2**","단독","8m미만","203.64","628","201512","21~31","32,600","2002","대관령마루길"
"강원도 평창군 대관령면 횡계리","3**","단독","8m미만","139.46","1203","201507","1~10","36,000","1960","횡계1길"
"강원도 평창군 대관령면 횡계리","2**","단독","12m미만","42.9","2071","201511","21~30","119,570","1967","송천2길"
"강원도 평창군 대화면 개수리","3*","단독","8m미만","103.53","251","201512","1~10","10,180","1998","외솔덧개수길"
"강원도 평창군 대화면 개수리","1***","단독","8m미만","69.87","424","201508","21~31","10,200","1999","장미산길"
"강원도 평창군 대화면 개수리","8**","단독","8m미만","63.15","500","201508","21~31","9,810","2005","예골길"
"강원도 평창군 대화면 개수리","6**","단독","8m미만","31.2","569","201504","1~10","10,000","null","전의동길"
"강원도 평창군 대화면 개수리","4**","단독","8m미만","99.46","585","201509","21~30","16,380","2005","항골길"
"강원도 평창군 대화면 개수리","1***","단독","8m미만","124.28","592","201504","21~30","12,250","2003","장미산길"
"강원도 평창군 대화면 대화리","9**","단독","8m미만","48.59","194","201501","11~20","2,221","1954","우전길"
"강원도 평창군 대화면 대화리","1**","단독","8m미만","99.24","195","201502","11~20","15,500","2004","던짓골1길"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","66.51","271","201502","21~28","2,000","1965","웃대화1길"
"강원도 평창군 대화면 대화리","1***","단독","12m미만","83.89","282","201503","1~10","11,000","1962","청룡길"
"강원도 평창군 대화면 대화리","7**","단독","8m미만","98.28","330","201509","1~10","14,400","2011","평창대로"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","87.24","412.3","201501","11~20","12,200","2000","문화택지길"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","113.4","422.7","201506","1~10","6,000","1998","문화택지길"
"강원도 평창군 대화면 신리","8**","단독","8m미만","69.4","309","201512","21~31","7,800","1984","구운동길"
"강원도 평창군 대화면 신리","4**","단독","8m미만","88.11","464","201507","21~31","10,836","2002","고토곡길"
"강원도 평창군 대화면 신리","7**","단독","8m미만","77.6","595","201505","11~20","7,500","1966","땀봉길"
"강원도 평창군 대화면 신리","5**","단독","12m미만","345.88","651","201509","1~10","13,800","1985","null"
"강원도 평창군 대화면 신리","7**","단독","8m미만","103.61","660","201510","21~31","17,000","2008","땀봉길"
"강원도 평창군 대화면 신리","2**","단독","8m미만","33","913","201508","1~10","10,000","2012","모릿재로"
"강원도 평창군 대화면 하안미리","1***","단독","8m미만","57.54","271","201512","1~10","5,200","1997","하안미길"
"강원도 평창군 대화면 하안미리","1***","단독","8m미만","57.54","271","201511","21~30","6,500","1997","하안미길"
"강원도 평창군 대화면 하안미리","1***","단독","8m미만","94.85","377","201510","21~31","7,300","2002","하안미길"
"강원도 평창군 대화면 하안미리","1***","단독","8m미만","73.92","414","201511","11~20","6,927","2014","null"
"강원도 평창군 대화면 하안미리","1***","단독","8m미만","73.92","414","201502","11~20","7,100","2014","null"
"강원도 평창군 대화면 하안미리","5**","단독","12m미만","63.61","529","201506","1~10","6,500","1979","가평로"
"강원도 평창군 대화면 하안미리","6**","단독","8m미만","161.6","639","201507","21~31","7,000","1999","도원2길"
"강원도 평창군 대화면 하안미리","1**","단독","8m미만","163.8","660","201510","1~10","10,135","2001","중왕산길"
"강원도 평창군 대화면 하안미리","8**","단독","8m미만","70.5","1094","201506","11~20","10,300","2014","가평로"
