"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 삼척시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 삼척시 가곡면 동활리","1**","단독","8m미만","84.66","387","201501","11~20","970","1938","가곡천로"
"강원도 삼척시 가곡면 동활리","5*","단독","12m미만","114","430","201504","1~10","7,000","1998","가곡천로"
"강원도 삼척시 가곡면 오목리","2**","단독","8m미만","45.97","367","201504","21~30","3,400","2008","오목길"
"강원도 삼척시 갈천동","1**","단독","8m미만","66.6","338","201506","1~10","57,400","2002","새천년도로"
"강원도 삼척시 교동","7**","다가구","12m미만","412.41","216.6","201506","11~20","37,000","2002","교동로1길"
"강원도 삼척시 교동","7**","다가구","25m미만","190.74","243","201506","11~20","43,000","2010","청석로"
"강원도 삼척시 교동","7**","다가구","25m미만","190.74","243","201510","21~31","44,350","2010","청석로"
"강원도 삼척시 교동","7**","다가구","8m미만","534.18","295","201512","1~10","64,500","2002","언장2길"
"강원도 삼척시 교동","5**","다가구","25m이상","639.94","351","201510","11~20","86,000","2014","동해대로"
"강원도 삼척시 교동","7**","다가구","12m미만","510.94","431.8","201504","21~30","58,000","2002","정상로"
"강원도 삼척시 교동","5**","단독","8m미만","144.38","22.57","201508","1~10","13,900","1996","대학로"
"강원도 삼척시 교동","2**","단독","8m미만","36","152","201506","1~10","4,100","1968","하실길"
"강원도 삼척시 교동","4**","단독","8m미만","49.68","163","201507","1~10","6,000","1960","새천년도로"
"강원도 삼척시 교동","7**","단독","25m미만","165.17","183","201508","21~31","44,700","2012","청석로"
"강원도 삼척시 교동","7**","단독","12m미만","157.98","214.1","201507","21~31","29,000","1998","정상로"
"강원도 삼척시 교동","7**","단독","12m미만","91.02","215.3","201501","21~31","15,500","2004","청석로"
"강원도 삼척시 교동","2**","단독","8m미만","151.34","216","201508","11~20","19,800","2010","하실길"
"강원도 삼척시 교동","6**","단독","8m미만","84.5","231","201505","21~31","16,300","1981","교동로"
"강원도 삼척시 교동","5**","단독","12m미만","126.9","239","201504","1~10","22,000","1995","대학로"
"강원도 삼척시 교동","7**","단독","25m미만","98.82","242.8","201503","21~31","14,500","2004","청석로"
"강원도 삼척시 교동","2**","단독","12m미만","145.2","325","201503","11~20","39,000","1987","하실길"
"강원도 삼척시 교동","5**","단독","8m미만","203.47","362","201504","1~10","25,000","1981","언장2길"
"강원도 삼척시 교동","3**","단독","8m미만","113","592","201509","1~10","13,500","1997","뒷나루길"
"강원도 삼척시 교동","4**","단독","8m미만","60","988","201505","21~31","10,000","1950","새천년도로"
"강원도 삼척시 근덕면 광태리","5*","단독","8m미만","73.47","704","201507","11~20","6,000","1993","광태길"
"강원도 삼척시 근덕면 교가리","9**","단독","8m미만","361","73.15","201511","21~30","6,530","1980","미근로"
