"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 태백시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 태백시 금천동","*","단독","12m미만","68.7","270","201504","21~30","520","1980","금천길"
"강원도 태백시 동점동","4**","단독","8m미만","39","66","201510","11~20","5,000","1983","방터골길"
"강원도 태백시 동점동","6*","단독","8m미만","91.14","142","201508","21~31","4,000","1983","방터골2길"
"강원도 태백시 동점동","7*","단독","8m미만","66.1","181","201509","21~30","2,000","1981","방터골2길"
"강원도 태백시 동점동","4**","단독","8m미만","63","200","201510","11~20","5,500","2002","방터골1길"
"강원도 태백시 문곡동","3*","단독","8m미만","67.77","160","201502","1~10","8,300","1982","일광마을길"
"강원도 태백시 문곡동","3*","단독","8m미만","102.27","171","201501","11~20","8,000","1984","일광마을길"
"강원도 태백시 백산동","1**","단독","12m미만","52.1","331","201510","1~10","3,000","1995","연화산길"
"강원도 태백시 백산동","1**","단독","8m미만","84.04","676","201505","21~31","15,000","1985","연화산길"
"강원도 태백시 소도동","7*","단독","8m미만","40.5","61","201509","11~20","3,200","1988","용담2길"
"강원도 태백시 소도동","1*","단독","8m미만","41.82","88","201508","1~10","5,000","1984","소도2길"
"강원도 태백시 소도동","7*","단독","8m미만","40.5","90","201505","11~20","2,500","1977","용담2길"
