"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 원주시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 원주시 가현동","1**","단독","8m미만","16.99","36","201510","11~20","1,500","1983","null"
"강원도 원주시 가현동","1**","단독","8m미만","16.99","36","201505","11~20","1,200","1983","null"
"강원도 원주시 가현동","1**","단독","8m미만","42","79","201509","1~10","2,000","1983","청룡마을길"
"강원도 원주시 가현동","1**","단독","12m미만","42.98","145","201505","11~20","5,300","1983","가현로"
"강원도 원주시 가현동","1**","단독","12m미만","42.98","145","201510","11~20","6,000","1962","가현로"
"강원도 원주시 가현동","6*","단독","8m미만","64.61","165","201504","21~30","5,000","1982","가현로"
"강원도 원주시 가현동","2**","단독","8m미만","49.17","188","201504","1~10","2,740","1972","가현로"
"강원도 원주시 가현동","2**","단독","8m미만","67.41","298","201510","11~20","9,000","1985","가치래미길"
"강원도 원주시 개운동","3**","다가구","12m미만","272.89","117.9","201509","1~10","23,500","1993","개운로"
"강원도 원주시 개운동","4**","다가구","8m미만","156.46","170","201512","1~10","16,500","1985","송림길"
"강원도 원주시 개운동","2**","다가구","8m미만","226.28","219","201506","1~10","21,800","1988","개운4길"
"강원도 원주시 개운동","4**","다가구","25m이상","108.42","234","201503","1~10","19,000","1977","치악로"
"강원도 원주시 개운동","4**","다가구","8m미만","146.76","239","201508","21~31","21,500","1989","개운5길"
"강원도 원주시 개운동","5**","다가구","8m미만","171.81","260","201509","21~30","15,000","1989","개운4길"
"강원도 원주시 개운동","4**","다가구","8m미만","180.39","322","201510","1~10","27,800","1990","개운5길"
"강원도 원주시 개운동","3**","다가구","8m미만","589.91","334.4","201512","21~31","74,502","2015","명륜초교길"
"강원도 원주시 개운동","4**","다가구","8m미만","529.92","342.1","201506","1~10","71,075","2015","개운3길"
"강원도 원주시 개운동","4**","다가구","8m미만","320.97","352.5","201509","1~10","27,000","1994","개운3길"
"강원도 원주시 개운동","2**","다가구","8m미만","630.71","402","201512","21~31","87,056","2015","개운3길"
"강원도 원주시 개운동","2**","단독","8m미만","44.86","99","201503","21~31","6,400","1983","치악로1735번길"
"강원도 원주시 개운동","3**","단독","8m미만","61.28","117","201511","11~20","7,600","1988","구만이길"
"강원도 원주시 개운동","2**","단독","8m미만","78.98","133","201505","11~20","10,350","null","남원로620번길"
"강원도 원주시 개운동","5**","단독","8m미만","46.85","136","201501","1~10","10,500","1974","개운3길"
