"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 양구군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 양구군 남면 가오작리","1***","다가구","8m미만","80","200","201511","1~10","4,300","2002","남동로"
"강원도 양구군 남면 가오작리","1**","단독","8m미만","91.91","660","201511","21~30","8,986","1999","광치령로1794번길"
"강원도 양구군 남면 가오작리","6**","단독","12m미만","85.32","680","201509","11~20","6,380","1956","남동로"
"강원도 양구군 남면 구암리","5*","단독","12m미만","82.26","485","201505","1~10","5,400","1997","봉화산로"
"강원도 양구군 남면 구암리","3**","단독","8m미만","67.54","826","201503","21~31","7,500","1970","구암리길"
"강원도 양구군 남면 도촌리","2*","단독","8m미만","71.57","452","201507","21~31","7,760","2008","봉화산로352번길"
"강원도 양구군 남면 도촌리","3**","단독","8m미만","98.09","660","201510","1~10","12,700","2004","봉화산로352번길"
"강원도 양구군 남면 도촌리","3*","단독","8m미만","162","997","201507","21~31","13,980","2006","null"
"강원도 양구군 남면 송우리","5*","단독","12m미만","93.04","353","201511","11~20","4,000","1958","정중앙로"
"강원도 양구군 남면 원리","4*","단독","8m미만","15.12","562","201505","21~31","7,000","1964","삼팔선로"
"강원도 양구군 남면 적리","3**","단독","8m미만","146.3","317","201504","11~20","6,600","1995","남동로"
