"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 강릉시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 강릉시 강동면 모전리","3**","단독","12m미만","84.26","220","201610","1~10","5,930","1985","단경로"
"강원도 강릉시 강동면 모전리","3**","단독","12m미만","84.26","220","201602","21~29","5,800","1985","단경로"
"강원도 강릉시 강동면 모전리","4**","단독","8m미만","75","330","201609","11~20","13,843","2006","둔지길"
"강원도 강릉시 강동면 모전리","4**","단독","8m미만","28.98","393","201609","11~20","7,657","2006","null"
"강원도 강릉시 강동면 모전리","5**","단독","8m미만","101.13","462","201601","21~31","13,200","2006","둔지길"
"강원도 강릉시 강동면 산성우리","3*","단독","12m미만","59.13","106","201604","11~20","1,600","1998","산성우리길"
"강원도 강릉시 강동면 산성우리","3**","단독","8m미만","60.75","270","201605","1~10","9,000","2003","율곡로"
"강원도 강릉시 강동면 산성우리","3**","단독","8m미만","29.5","454","201605","1~10","1,500","1980","null"
"강원도 강릉시 강동면 상시동리","3**","단독","8m미만","84.05","175","201606","21~30","8,000","2003","풍호길"
"강원도 강릉시 강동면 심곡리","9*","단독","12m미만","70.03","418","201611","1~10","21,800","1980","헌화로"
"강원도 강릉시 강동면 안인리","8**","단독","12m미만","122.34","473.3","201608","1~10","21,000","2009","해돋이마을길"
"강원도 강릉시 강동면 안인리","5**","단독","8m미만","110.5","764","201603","21~31","5,710","1997","해돋이마을길"
"강원도 강릉시 강동면 안인리","3**","단독","8m미만","80.76","1652","201611","1~10","14,000","1996","원장봉길"
"강원도 강릉시 강동면 정동진리","1*","단독","8m미만","102.46","104","201608","11~20","5,000","1998","정동4길"
"강원도 강릉시 강동면 정동진리","1**","단독","12m미만","21.2","141","201605","1~10","7,200","1980","헌화로"
"강원도 강릉시 강동면 정동진리","4**","단독","12m미만","79.72","204","201607","1~10","9,500","2003","분소골길"
"강원도 강릉시 강동면 하시동리","1**","단독","8m미만","53.02","383","201606","1~10","2,500","1980","원장봉길"
"강원도 강릉시 강동면 하시동리","9**","단독","8m미만","190.46","397","201602","11~20","16,000","2002","시동1길"
"강원도 강릉시 강문동","1**","단독","12m미만","46.61","75","201612","11~20","17,935","1928","창해로350번길"
"강원도 강릉시 강문동","2**","단독","8m미만","29.78","122","201605","21~31","9,500","1921","창해로370번길"
"강원도 강릉시 강문동","2**","단독","12m미만","71.53","149","201611","1~10","30,000","1930","창해로"
"강원도 강릉시 강문동","1**","단독","8m미만","43.04","172","201603","11~20","14,000","1909","창해로362번길"
"강원도 강릉시 강문동","2**","단독","8m미만","32.46","175","201610","1~10","11,180","1925","창해로362번길"
"강원도 강릉시 강문동","2**","단독","8m미만","81.84","192","201605","21~31","16,500","1959","null"
"강원도 강릉시 강문동","2**","단독","8m미만","178.61","198","201605","21~31","15,000","1998","창해로370번길"
"강원도 강릉시 강문동","1**","단독","8m미만","158.7","294","201601","11~20","26,000","2009","창해로362번길"
"강원도 강릉시 강문동","1**","단독","8m미만","158.7","294","201602","21~29","26,000","2009","창해로362번길"
"강원도 강릉시 견소동","2**","단독","8m미만","25.79","96","201612","21~31","21,000","1955","창해로2번길"
"강원도 강릉시 견소동","*","단독","12m미만","56.28","264","201609","21~30","117,000","2015","창해로14번길"
"강원도 강릉시 견소동","1**","단독","8m미만","365.01","357","201608","21~31","73,300","1987","창해로2번길"
"강원도 강릉시 교동","8**","다가구","8m미만","230.96","165","201608","21~31","32,500","2009","강릉대로171번길"
"강원도 강릉시 교동","1**","다가구","8m미만","250.02","191","201608","1~10","34,000","1997","임영로198번길"
"강원도 강릉시 교동","1***","다가구","12m미만","329.84","205.4","201606","11~20","65,800","2004","율곡초교길39번길"
"강원도 강릉시 교동","1***","다가구","12m미만","345.2","214.1","201602","1~10","56,000","2003","하슬라로206번길"
"강원도 강릉시 교동","1***","다가구","12m미만","348.79","214.3","201608","11~20","88,000","2014","하슬라로"
"강원도 강릉시 교동","1***","다가구","12m미만","348.87","216.4","201610","21~31","57,000","2002","하슬라로232번길"
"강원도 강릉시 교동","1***","다가구","12m미만","380.17","218.18","201612","11~20","63,700","2003","경포로"
"강원도 강릉시 교동","1***","다가구","12m미만","328.32","222.4","201607","11~20","55,000","2012","원대로179번길"
"강원도 강릉시 교동","9**","다가구","8m미만","332.12","225","201607","21~31","53,000","2013","원대로14번길"
"강원도 강릉시 교동","1***","다가구","12m미만","346.42","225","201606","21~30","69,000","2008","율곡초교길"
"강원도 강릉시 교동","1***","다가구","12m미만","393.51","226.5","201608","1~10","50,000","2003","원대로"
"강원도 강릉시 교동","1***","다가구","12m미만","359.71","230.2","201604","21~30","57,200","2002","하슬라로232번길"
"강원도 강릉시 교동","1***","다가구","12m미만","409.29","242.8","201609","21~30","60,000","2004","정원로"
"강원도 강릉시 교동","1***","다가구","12m미만","392.12","258.7","201605","21~31","66,000","2001","하슬라로232번길"
"강원도 강릉시 교동","1***","다가구","12m미만","397.73","264.4","201605","21~31","85,000","2008","율곡초교길39번길"
"강원도 강릉시 교동","1***","다가구","12m미만","466.91","266.3","201611","1~10","84,500","2005","율곡초교길39번길"
"강원도 강릉시 교동","9**","다가구","12m미만","514.88","289.3","201611","11~20","87,000","2016","원대로14번길"
"강원도 강릉시 교동","1***","다가구","12m미만","494.41","382.2","201610","1~10","96,000","2012","율곡초교길"
"강원도 강릉시 교동","7**","다가구","12m미만","534.91","406","201606","1~10","82,000","2014","율곡로2953번길"
"강원도 강릉시 교동","7**","다가구","12m미만","656.43","502","201609","11~20","93,000","2014","율곡로2953번길"
"강원도 강릉시 교동","1***","다가구","25m미만","402.84","609","201609","1~10","57,500","1996","경포로"
"강원도 강릉시 교동","1**","단독","8m미만","18.9","33","201607","21~31","1,585","1980","강릉대로204번길"
"강원도 강릉시 교동","1**","단독","12m미만","55.44","47.6","201611","1~10","9,360","1983","null"
"강원도 강릉시 교동","9**","단독","25m이상","106.58","92.1","201608","1~10","16,900","1978","강릉대로"
"강원도 강릉시 교동","1**","단독","8m미만","40","96","201605","11~20","4,500","1972","샘물터길1번길"
"강원도 강릉시 교동","1***","단독","8m미만","52.29","98.2","201604","11~20","4,000","1975","명주로78번길"
"강원도 강릉시 교동","9**","단독","8m미만","99.96","108","201608","11~20","9,700","1985","강릉대로121번길"
"강원도 강릉시 교동","1**","단독","8m미만","79.4","112","201603","1~10","13,300","1995","강릉대로303번길"
"강원도 강릉시 교동","1***","단독","8m미만","106.65","113","201609","1~10","9,600","1984","화부산로63번길"
"강원도 강릉시 교동","9**","단독","8m미만","68.42","116","201602","21~29","7,900","1979","강릉대로121번길"
"강원도 강릉시 교동","8**","단독","8m미만","77.32","119","201612","11~20","9,000","1978","강릉대로171번길"
"강원도 강릉시 교동","9**","단독","8m미만","84.38","123.5","201610","21~31","9,800","1982","원대로8번안길"
"강원도 강릉시 교동","8**","단독","25m미만","153.8","126","201608","1~10","23,000","1981","화부산로"
"강원도 강릉시 교동","9**","단독","8m미만","126.08","126.6","201610","1~10","8,000","1979","명주로77번길"
"강원도 강릉시 교동","8**","단독","25m미만","62.48","129","201606","1~10","7,000","1961","임영로"
"강원도 강릉시 교동","1***","단독","12m미만","74.29","130","201603","21~31","9,600","1984","화부산로63번길"
"강원도 강릉시 교동","7**","단독","8m미만","135.08","131","201605","21~31","11,000","1982","화부산로91번길"
"강원도 강릉시 교동","1**","단독","8m미만","52.2","132","201610","21~31","7,500","1977","강릉대로211번길"
"강원도 강릉시 교동","1**","단독","8m미만","68.14","132","201612","11~20","8,000","2000","임영로198번길"
"강원도 강릉시 교동","9**","단독","12m미만","74.6","132.2","201610","21~31","8,000","1978","원대로8번길"
"강원도 강릉시 교동","9**","단독","8m미만","121.52","132.2","201602","21~29","15,500","1976","명주로78번길"
"강원도 강릉시 교동","1**","단독","12m미만","200.18","132.2","201610","1~10","25,000","1975","옥천로71번길"
"강원도 강릉시 교동","1**","단독","12m미만","200.18","132.2","201603","21~31","14,200","1975","옥천로71번길"
