"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 춘천시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 춘천시 교동","3*","다가구","8m미만","239.76","160","201611","1~10","28,000","2002","향교뒷길"
"강원도 춘천시 교동","1**","다가구","12m미만","216.48","165","201610","11~20","52,000","2010","춘천로213번길"
"강원도 춘천시 교동","2*","다가구","8m미만","148.14","169","201607","1~10","16,000","1989","향교옆길15번길"
"강원도 춘천시 교동","1**","다가구","12m미만","147.28","171.3","201610","21~31","27,000","1986","삭주로70번길"
"강원도 춘천시 교동","7*","다가구","8m미만","318.86","181","201611","11~20","65,000","2014","교동길10번길"
"강원도 춘천시 교동","1**","다가구","8m미만","269.79","185.2","201607","21~31","32,500","1997","향교옆길"
"강원도 춘천시 교동","9*","다가구","25m미만","422.78","190","201607","11~20","58,000","2000","삭주로"
"강원도 춘천시 교동","1**","다가구","8m미만","327.87","191.8","201606","21~30","30,500","1993","교동길17번길"
"강원도 춘천시 교동","1**","다가구","12m미만","342.53","199.1","201604","21~30","62,500","2003","삭주로70번길"
"강원도 춘천시 교동","1**","다가구","25m미만","487.26","208.5","201608","21~31","56,000","2002","삭주로"
"강원도 춘천시 교동","1**","다가구","8m미만","327.44","211.6","201604","21~30","42,000","1994","교동길17번길"
"강원도 춘천시 교동","1**","다가구","12m미만","514.15","234.4","201610","11~20","84,000","1980","삭주로70번길"
"강원도 춘천시 교동","1*","다가구","8m미만","306.63","238","201608","1~10","42,200","1992","교동길"
"강원도 춘천시 교동","1*","다가구","12m미만","525.63","238","201610","11~20","48,800","1994","교동길"
"강원도 춘천시 교동","1**","다가구","12m미만","489.6","269.7","201609","1~10","97,500","2015","삭주로80번길"
"강원도 춘천시 교동","1**","다가구","12m미만","499.7","323.2","201604","1~10","74,500","2002","삭주로70번길"
"강원도 춘천시 교동","1**","다가구","12m미만","819.76","329.1","201611","21~30","130,000","2005","삭주로70번길"
"강원도 춘천시 교동","1*","다가구","8m미만","649.16","344","201603","11~20","110,000","2003","교동길"
"강원도 춘천시 교동","1**","단독","12m미만","36.02","55","201608","11~20","6,000","1969","춘천로213번길"
"강원도 춘천시 교동","7*","단독","8m미만","101.46","89.5","201601","11~20","10,000","1974","교동길10번길"
"강원도 춘천시 교동","6*","단독","8m미만","38.39","104","201608","11~20","8,500","1971","서부대성로111번길"
"강원도 춘천시 교동","1**","단독","8m미만","67.82","116.7","201608","1~10","10,500","2004","향교옆길"
"강원도 춘천시 교동","1**","단독","8m미만","52.08","117","201609","1~10","13,500","1982","null"
"강원도 춘천시 교동","1**","단독","8m미만","39.67","118","201604","11~20","8,800","1955","교동길18번길"
"강원도 춘천시 교동","1**","단독","8m미만","51.61","128","201606","21~30","10,300","1974","교운가길1번길"
"강원도 춘천시 교동","1**","단독","12m미만","287.73","130.3","201606","11~20","55,000","2003","삭주로70번길"
"강원도 춘천시 교동","1*","단독","8m미만","124.21","132","201609","1~10","16,600","2009","삭주로47번길"
"강원도 춘천시 교동","1**","단독","25m미만","197.51","133.5","201611","1~10","37,000","1979","삭주로"
"강원도 춘천시 교동","9*","단독","8m미만","52.89","137","201601","1~10","7,500","1955","교동길18번길"
"강원도 춘천시 교동","1**","단독","8m미만","226.38","138.1","201605","11~20","17,800","1992","교동길10번길"
"강원도 춘천시 교동","1*","단독","12m미만","301.86","142","201610","1~10","49,000","2003","교동길"
"강원도 춘천시 교동","1**","단독","8m미만","50.34","148","201607","21~31","14,000","1970","교운가길"
"강원도 춘천시 교동","1**","단독","12m미만","197.91","152.9","201609","21~30","28,000","1995","삭주로80번길"
"강원도 춘천시 교동","1**","단독","8m미만","183.21","162.7","201604","1~10","22,500","1995","향교앞길"
"강원도 춘천시 교동","1**","단독","8m미만","128.67","163.3","201607","11~20","20,300","1977","교동길10번길"
"강원도 춘천시 교동","1**","단독","8m미만","128.67","163.3","201602","11~20","14,000","1977","교동길10번길"
"강원도 춘천시 교동","1*","단독","8m미만","78.51","165","201603","21~31","19,000","1979","삭주로66번길"
"강원도 춘천시 교동","1**","단독","8m미만","168.16","168.7","201606","11~20","22,000","1993","향교앞길"
"강원도 춘천시 교동","7*","단독","8m미만","204.04","183","201606","11~20","18,960","1989","향교앞길"
"강원도 춘천시 교동","1**","단독","8m미만","295.29","193.7","201601","1~10","67,500","2015","삭주로"
