"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 동해시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 동해시 괴란동","1**","단독","8m미만","48.32","261","201601","1~10","7,000","2006","괴란길"
"강원도 동해시 괴란동","1**","단독","8m미만","81.06","307","201607","11~20","6,270","null","괴란길"
"강원도 동해시 구미동","5**","다가구","12m미만","126.92","244.2","201608","21~31","16,700","1998","구미택지4길"
"강원도 동해시 구미동","4**","다가구","12m미만","655.08","347","201601","11~20","76,500","2014","구미3길"
"강원도 동해시 구미동","4**","다가구","12m미만","657.7","351","201610","11~20","80,000","1960","구미3길"
"강원도 동해시 구미동","4**","단독","12m미만","36","110.5","201607","11~20","3,200","1956","구미1길"
"강원도 동해시 구미동","6**","단독","25m미만","63.9","194.2","201608","11~20","9,800","null","구미택지2길"
"강원도 동해시 구미동","4**","단독","8m미만","125.82","222","201605","1~10","10,600","1992","구미1길"
"강원도 동해시 구미동","5**","단독","25m이상","482.34","233.9","201612","1~10","24,000","1993","구미택지1길"
"강원도 동해시 구미동","5**","단독","12m미만","219.59","238","201603","11~20","16,400","1998","구미택지3길"
"강원도 동해시 구미동","5**","단독","8m미만","81.92","239.8","201611","21~30","12,800","1970","구미택지5길"
"강원도 동해시 구미동","5**","단독","8m미만","83.34","262","201601","11~20","8,000","1988","구미3길"
"강원도 동해시 구미동","6**","단독","8m미만","174.06","263.3","201608","1~10","20,000","2016","구미택지5길"
"강원도 동해시 구미동","4**","단독","8m미만","171.92","277","201609","1~10","21,000","1994","구미2길"
"강원도 동해시 구미동","4**","단독","8m미만","171.92","277","201610","1~10","17,000","1994","구미2길"
"강원도 동해시 구미동","4**","단독","12m미만","655.08","347","201612","1~10","78,000","1970","구미3길"
"강원도 동해시 귀운동","1**","단독","8m미만","120.58","237","201606","11~20","18,000","2011","전천로"
"강원도 동해시 단봉동","5**","단독","12m미만","69.67","454","201610","11~20","6,000","1975","강원남부로"
"강원도 동해시 단봉동","3**","단독","8m미만","24.46","559","201606","21~30","8,500","1997","봉정2길"
"강원도 동해시 대구동","3**","단독","8m미만","42.2","165","201604","11~20","2,000","1950","대동로"
"강원도 동해시 대구동","3**","단독","8m미만","50.91","218","201611","21~30","3,100","1970","대동로"
"강원도 동해시 대구동","2**","단독","8m미만","82.6","363","201608","1~10","14,300","2016","동해대로"
"강원도 동해시 대진동","1*","단독","12m미만","131.76","173","201610","11~20","18,500","2012","대진2길"
"강원도 동해시 대진동","4*","단독","8m미만","32.2","198","201604","11~20","13,400","1955","null"
"강원도 동해시 대진동","4*","단독","8m미만","26.45","234","201601","11~20","9,650","1952","대진항길"
"강원도 동해시 대진동","4*","단독","25m미만","207.76","425","201609","1~10","28,000","1996","일출로"
"강원도 동해시 동회동","6*","다가구","8m미만","474.8","259","201606","21~30","59,900","2016","효자남1길"
"강원도 동해시 동회동","6*","다가구","8m미만","599.96","313","201605","11~20","79,000","2016","효자남1길"
"강원도 동해시 동회동","2**","단독","12m미만","46.22","268","201610","21~31","6,000","1950","신당2길"
"강원도 동해시 망상동","5*","단독","25m미만","99.64","353","201604","1~10","12,100","2000","동해대로"
"강원도 동해시 묵호진동","*","단독","8m미만","13.42","56","201609","11~20","1,600","1975","일출로"
"강원도 동해시 묵호진동","8*","단독","8m미만","37.51","64","201609","1~10","1,240","1998","해맞이길"
"강원도 동해시 묵호진동","1*","단독","8m미만","52.03","96","201603","1~10","2,250","1983","논골2길"
"강원도 동해시 묵호진동","*","단독","25m미만","99.45","102","201604","1~10","14,300","1997","일출로"
"강원도 동해시 묵호진동","*","단독","8m미만","41.21","116","201601","21~31","3,100","1985","녹등길"
"강원도 동해시 묵호진동","8*","단독","8m미만","56.7","132","201604","1~10","3,350","1985","산제골1길"
"강원도 동해시 묵호진동","*","단독","8m미만","77.72","139","201603","21~31","7,000","1989","월소로"
"강원도 동해시 묵호진동","8*","단독","8m미만","79.72","162","201608","1~10","4,900","1983","산제골길"
"강원도 동해시 묵호진동","*","단독","8m미만","53.63","163","201605","11~20","5,000","null","월소로"
"강원도 동해시 묵호진동","*","단독","8m미만","70.36","172","201609","21~30","4,000","1970","녹등길"
"강원도 동해시 묵호진동","6*","단독","8m미만","61.2","182","201601","1~10","9,000","1951","묵호시장길"
"강원도 동해시 묵호진동","*","단독","8m미만","72.44","198","201605","11~20","6,000","1985","논골길"
"강원도 동해시 묵호진동","*","단독","8m미만","118.47","205","201612","11~20","13,000","1970","논골1길"
"강원도 동해시 묵호진동","4*","단독","8m미만","26.37","221","201610","11~20","1,800","1977","논산2길"
"강원도 동해시 묵호진동","*","단독","8m미만","99.84","274","201609","21~30","15,000","1995","등대오름길"
"강원도 동해시 묵호진동","8*","단독","25m미만","82.5","310","201608","21~31","19,000","1994","묵호시장길"
"강원도 동해시 묵호진동","3*","단독","8m미만","85.95","340","201605","1~10","8,000","1972","묵호시장1길"
"강원도 동해시 묵호진동","4*","단독","-","39.6","341","201611","1~10","1,650","1985","덕장길"
"강원도 동해시 묵호진동","4*","단독","8m미만","56.24","381","201611","1~10","2,400","1983","덕장길"
"강원도 동해시 발한동","9*","단독","8m미만","65.07","11.25","201606","11~20","1,710","1983","향로6길"
"강원도 동해시 발한동","9*","단독","8m미만","54","30","201611","11~20","2,250","1980","향로4길"
"강원도 동해시 발한동","3**","단독","8m미만","37","39","201604","21~30","1,700","1985","해안로"
"강원도 동해시 발한동","1**","단독","8m미만","13.22","46","201612","1~10","1,200","1970","새시장길"
"강원도 동해시 발한동","1**","단독","8m미만","25.22","64","201612","1~10","1,500","1970","새시장길"
"강원도 동해시 발한동","2**","단독","8m미만","32.85","69","201608","11~20","2,000","1984","관사1길"
"강원도 동해시 발한동","2**","단독","8m미만","32.85","69","201608","11~20","2,000","1984","관사1길"
"강원도 동해시 발한동","2**","단독","8m미만","70.42","69","201612","21~31","5,000","1994","발한로"
"강원도 동해시 발한동","9*","단독","8m미만","22.8","72.83","201609","11~20","1,200","1983","향로복개로"
"강원도 동해시 발한동","2**","단독","8m미만","32.76","73","201603","11~20","1,500","1983","지리2길"
"강원도 동해시 발한동","5**","단독","25m이상","98.48","76","201609","11~20","5,700","1981","발한로"
"강원도 동해시 발한동","1**","단독","8m미만","49.3","84","201602","1~10","4,250","2011","향로2길"
"강원도 동해시 발한동","2**","단독","8m미만","49.58","89","201609","11~20","3,500","1985","지리1길"
"강원도 동해시 발한동","2**","단독","8m미만","20.16","90","201611","11~20","2,500","1985","지리1길"
"강원도 동해시 발한동","3**","단독","8m미만","59.2","93","201605","21~31","4,500","1990","발한로"
"강원도 동해시 발한동","2**","단독","8m미만","44.28","96","201604","1~10","3,500","1983","지리1길"
"강원도 동해시 발한동","2**","단독","8m미만","44.28","96","201601","1~10","3,500","1983","지리1길"
"강원도 동해시 발한동","3**","단독","8m미만","40.77","98.95","201607","21~31","3,900","1983","발한천길"
"강원도 동해시 발한동","5**","단독","8m미만","109.32","106","201602","11~20","5,100","2014","동호1길"
"강원도 동해시 발한동","2**","단독","8m미만","69.88","122","201606","1~10","4,000","1985","지리1길"
"강원도 동해시 발한동","3**","단독","12m미만","45","126","201612","21~31","5,100","1970","발한로"
"강원도 동해시 발한동","3**","단독","8m미만","19.83","130","201605","11~20","800","1980","사문3길"
"강원도 동해시 발한동","5**","단독","12m미만","52.2","132","201605","1~10","5,700","1980","동호3길"
"강원도 동해시 발한동","1**","단독","8m미만","45.99","139","201605","11~20","6,600","1971","향로6길"
"강원도 동해시 발한동","5**","단독","8m미만","20","142","201611","21~30","2,000","1970","발한로"
"강원도 동해시 발한동","1**","단독","12m미만","325.88","163","201611","21~30","18,700","2008","붉은언덕길"
"강원도 동해시 발한동","8*","단독","8m미만","97.15","169","201609","11~20","4,750","1950","향로언덕길"
"강원도 동해시 발한동","5**","단독","8m미만","57.03","171","201608","1~10","3,800","1983","느릅재길"
"강원도 동해시 발한동","9*","단독","8m미만","63.3","171","201610","1~10","4,400","1951","향로복개로"
"강원도 동해시 발한동","5**","단독","8m미만","70.6","172","201612","1~10","9,450","1980","동호3길"
"강원도 동해시 발한동","3**","단독","8m미만","47.93","192","201608","21~31","6,000","1985","발한로"
"강원도 동해시 발한동","2**","단독","8m미만","131.35","197","201607","11~20","3,100","1978","지리2길"
"강원도 동해시 발한동","2**","단독","8m미만","77.8","202","201603","11~20","2,200","null","지리2길"
"강원도 동해시 발한동","2**","단독","8m미만","22.78","208","201603","21~31","5,600","1998","지리1길"
"강원도 동해시 발한동","1**","단독","8m미만","18.75","231","201601","11~20","3,700","1985","해안로"
"강원도 동해시 발한동","7*","단독","8m미만","95.45","238","201606","21~30","8,500","1983","향로6길"
"강원도 동해시 발한동","2**","단독","8m미만","90","253","201611","1~10","15,000","1970","지리골길"
"강원도 동해시 발한동","2**","단독","8m미만","98.02","260","201610","11~20","7,400","1960","관사3길"
"강원도 동해시 발한동","3**","단독","8m미만","40.4","268","201603","11~20","4,500","1982","사문5길"
"강원도 동해시 발한동","3**","단독","8m미만","51.75","277","201607","21~31","5,500","1978","발한로"
"강원도 동해시 발한동","8*","단독","8m미만","41.81","311","201604","1~10","5,300","2003","향로언덕길"
"강원도 동해시 발한동","2**","단독","12m미만","157.29","347","201610","1~10","15,000","1981","관사길"
"강원도 동해시 발한동","3**","단독","8m미만","27.83","360","201602","11~20","3,500","1957","null"
"강원도 동해시 발한동","1**","단독","8m미만","64.69","458","201606","1~10","7,900","1952","향로2길"
"강원도 동해시 부곡동","7*","다가구","8m미만","297","189.3","201611","11~20","15,000","1970","가마골길"
"강원도 동해시 부곡동","*","단독","8m미만","27.04","60","201603","21~31","3,000","1984","임항로"
"강원도 동해시 부곡동","1**","단독","8m미만","26.25","63.8","201605","1~10","1,500","1985","부곡복개로"
"강원도 동해시 부곡동","1**","단독","8m미만","54.37","74.8","201605","1~10","3,300","1985","부곡복개로"
"강원도 동해시 부곡동","*","단독","8m미만","39.6","93","201603","21~31","2,700","1984","임항로"
"강원도 동해시 부곡동","4*","단독","8m미만","39.5","99","201603","11~20","3,550","1983","부곡6길"
"강원도 동해시 부곡동","*","단독","8m미만","51.7","102","201611","11~20","900","1970","임항로"
"강원도 동해시 부곡동","3*","단독","8m미만","39.7","109","201603","1~10","3,100","1988","부곡6길"
"강원도 동해시 부곡동","3*","단독","8m미만","39.67","132","201611","1~10","3,000","1960","부곡6길"
"강원도 동해시 부곡동","1**","단독","8m미만","34.35","149","201604","21~30","2,000","1984","부곡3길"
"강원도 동해시 부곡동","1**","단독","8m미만","52.76","212","201608","1~10","5,500","1993","전망대길"
"강원도 동해시 부곡동","1**","단독","8m미만","61.63","235","201611","11~20","5,000","1985","전망대길"
"강원도 동해시 부곡동","1**","단독","12m미만","156.34","251.2","201604","21~30","16,500","2002","부곡복개로"
"강원도 동해시 부곡동","6*","단독","8m미만","86.5","258.1","201605","11~20","8,500","1978","수원지1길"
"강원도 동해시 부곡동","*","단독","8m미만","83.71","276","201606","1~10","5,000","1983","전망대길"
"강원도 동해시 부곡동","6*","단독","8m미만","61.28","276.7","201607","21~31","10,500","1978","수원지1길"
"강원도 동해시 부곡동","7*","단독","12m미만","276.84","337.8","201601","11~20","19,630","1994","가마골길"
"강원도 동해시 부곡동","1**","단독","12m미만","87.89","346.2","201607","1~10","7,500","1980","부곡복개로"
"강원도 동해시 부곡동","6*","단독","12m미만","83.7","523.2","201606","1~10","14,000","2002","승지로"
"강원도 동해시 부곡동","3**","단독","12m미만","107.64","660","201601","11~20","9,920","2010","승지로"
"강원도 동해시 북평동","1**","단독","8m미만","83.7","172","201605","21~31","6,227","1997","전천로"
"강원도 동해시 북평동","1**","단독","8m미만","63.16","196","201611","11~20","5,375","1983","전천로"
"강원도 동해시 북평동","1**","단독","8m미만","40.96","208","201612","1~10","4,100","1970","전천로"
"강원도 동해시 북평동","1**","단독","8m미만","98.59","240","201610","11~20","5,000","1950","전천로"
"강원도 동해시 북평동","2**","단독","8m미만","22","245","201610","11~20","4,600","1960","전천로"
"강원도 동해시 북평동","2**","단독","8m미만","74","446","201605","21~31","10,200","1985","전천로"
"강원도 동해시 북평동","2**","단독","8m미만","70.4","456","201603","1~10","9,500","1996","전천로"
"강원도 동해시 삼화동","8**","단독","12m미만","139.65","220","201611","21~30","28,000","1970","삼화로"
"강원도 동해시 송정동","8**","단독","8m미만","46.94","56","201608","1~10","1,600","1970","송정시장길"
"강원도 동해시 송정동","1***","단독","8m미만","64","93","201607","11~20","1,400","1930","송정2길"
"강원도 동해시 송정동","9**","단독","8m미만","35.04","132","201610","21~31","4,050","1970","동해역길"
"강원도 동해시 송정동","6**","단독","8m미만","60.74","165","201604","1~10","3,000","1982","솔밭2길"
"강원도 동해시 송정동","8**","단독","8m미만","71.2","188","201611","11~20","2,700","1983","동해항2길"
"강원도 동해시 송정동","9**","단독","8m미만","35.04","192","201604","1~10","5,100","1931","송정2길"
"강원도 동해시 송정동","1***","단독","12m미만","240","271","201608","1~10","15,300","1996","송정3길"
"강원도 동해시 송정동","8**","단독","12m미만","86.59","450","201605","11~20","8,500","1970","동해항3길"
"강원도 동해시 송정동","7**","단독","8m미만","43.31","506","201607","11~20","12,000","1986","대동로"
"강원도 동해시 쇄운동","8*","단독","8m미만","60.27","165","201608","11~20","5,000","1950","청운3길"
"강원도 동해시 쇄운동","3**","단독","8m미만","66.84","165","201612","21~31","5,237","1981","언당길"
"강원도 동해시 쇄운동","8*","단독","8m미만","61.89","204","201606","21~30","14,000","1980","청운3길"
"강원도 동해시 쇄운동","3**","단독","8m미만","66.61","331","201606","21~30","9,500","1979","청운3길"
"강원도 동해시 쇄운동","8*","단독","8m미만","94.86","623","201601","21~31","17,000","1999","청운3길"
"강원도 동해시 신흥동","5**","단독","8m미만","52.32","446","201611","11~20","5,000","2015","신흥중앙로"
"강원도 동해시 어달동","1**","단독","8m미만","26.25","75","201609","21~30","1,000","1968","어달1길"
"강원도 동해시 어달동","1*","단독","8m미만","40","84","201612","1~10","4,200","1970","null"
"강원도 동해시 어달동","1*","단독","8m미만","40","84","201608","21~31","3,600","1970","null"
"강원도 동해시 어달동","1**","단독","8m미만","39.67","182","201606","1~10","5,000","1951","어달1길"
"강원도 동해시 어달동","1**","단독","8m미만","35.5","207","201603","11~20","7,300","1961","일출로"
"강원도 동해시 어달동","1**","단독","8m미만","35.5","207","201606","21~30","8,000","1961","일출로"
"강원도 동해시 어달동","1**","단독","8m미만","49.22","307","201608","21~31","8,000","1952","어달1길"
"강원도 동해시 어달동","1**","단독","8m미만","23.83","317","201603","21~31","2,000","1983","어달길"
"강원도 동해시 어달동","1**","단독","8m미만","60","377","201607","1~10","5,000","1998","어달길"
"강원도 동해시 용정동","2**","단독","8m미만","50.4","116","201605","21~31","3,500","1981","봉오주택길"
"강원도 동해시 용정동","5**","단독","8m미만","63.88","117","201602","1~10","14,500","2012","봉오동길"
