"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 고성군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 고성군 간성읍 교동리","7**","단독","25m미만","102.12","645","201608","11~20","5,005","1999","진부령로"
"강원도 고성군 간성읍 상리","5**","다가구","12m미만","178.86","183","201611","1~10","10,000","2008","수성안길"
"강원도 고성군 간성읍 상리","4**","단독","8m미만","28.26","526","201610","11~20","14,200","1980","간성로89번길"
"강원도 고성군 간성읍 신안리","2**","단독","8m미만","26.95","95","201606","21~30","1,500","1968","간성북로7번길"
"강원도 고성군 간성읍 신안리","1**","단독","8m미만","135.3","248","201603","21~31","9,000","1981","간성로29번길"
"강원도 고성군 간성읍 어천리","1**","단독","8m미만","120.38","656","201607","11~20","12,000","2001","어천길"
"강원도 고성군 간성읍 장신리","8*","단독","25m미만","88.74","220","201602","1~10","8,000","2003","null"
"강원도 고성군 간성읍 장신리","2**","단독","8m미만","66","464","201601","1~10","7,500","1978","null"
"강원도 고성군 간성읍 진부리","7*","단독","8m미만","73.95","485","201601","1~10","9,300","1999","진부리길"
"강원도 고성군 간성읍 하리","1*","단독","25m미만","66.12","357","201610","11~20","37,000","1980","간성로"
"강원도 고성군 간성읍 해상리","8**","단독","8m미만","164.33","670","201609","1~10","23,000","2014","중두골길"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","35.77","52.39","201605","11~20","1,300","1983","행랑골2길"
"강원도 고성군 거진읍 거진리","1**","단독","8m미만","52.8","71","201610","21~31","3,500","1990","거탄진로"
"강원도 고성군 거진읍 거진리","1**","단독","8m미만","71.64","83","201612","1~10","7,000","1993","거탄진로"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","107.82","120","201602","11~20","11,500","1996","행랑골1길"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","51.52","125","201604","21~30","3,800","1990","행랑골3길"
"강원도 고성군 거진읍 거진리","3**","단독","8m미만","146.07","125","201604","1~10","7,176","1996","거진운동장길"
"강원도 고성군 거진읍 거진리","3**","단독","8m미만","75.55","126","201608","11~20","3,600","1982","거진길"
"강원도 고성군 거진읍 거진리","3**","단독","8m미만","71.45","127","201612","11~20","6,500","1993","거진운동장길"
"강원도 고성군 거진읍 거진리","2*","단독","8m미만","41.36","131","201601","1~10","3,800","1957","거탄진로209번길"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","109.49","146","201605","1~10","11,000","1996","행랑골1길"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","66.59","150","201602","21~29","5,300","1994","거진운동장길"
"강원도 고성군 거진읍 거진리","2**","단독","12m미만","133.9","178","201605","1~10","6,800","1957","null"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","47.77","198","201607","11~20","2,000","1957","태봉1길"
"강원도 고성군 거진읍 거진리","2*","단독","8m미만","17.69","203","201609","1~10","1,342","1957","null"
"강원도 고성군 거진읍 거진리","6*","단독","8m미만","81.4","257","201601","11~20","5,000","1959","등대길"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","97.38","264","201607","21~31","14,400","1996","거진시장길"
"강원도 고성군 거진읍 거진리","2**","단독","8m미만","24.29","530","201609","21~30","4,816","1955","태봉2길"
"강원도 고성군 거진읍 대대리","3**","단독","8m미만","54.8","67","201605","1~10","2,600","1978","대대2길"
"강원도 고성군 거진읍 대대리","3**","단독","8m미만","211.62","474","201606","1~10","11,300","1993","한터1길"
"강원도 고성군 거진읍 반암리","*","다가구","8m미만","438.88","508","201603","1~10","33,000","2001","반암길"
"강원도 고성군 거진읍 반암리","6*","단독","8m미만","49.26","990","201612","11~20","24,500","2009","null"
"강원도 고성군 거진읍 봉평리","3**","단독","8m미만","56.52","383","201602","1~10","4,135","2012","봉평길"
"강원도 고성군 거진읍 봉평리","2**","단독","8m미만","99.72","536","201607","11~20","8,000","1985","봉평길"
"강원도 고성군 거진읍 송강리","*","단독","8m미만","17.59","410","201601","1~10","4,725","1971","송강길"
"강원도 고성군 거진읍 송포리","4**","단독","8m미만","82.08","549","201608","11~20","9,500","1993","낙산길"
"강원도 고성군 거진읍 초계리","4**","단독","12m미만","93.38","396","201608","11~20","14,500","1994","남강로"
"강원도 고성군 거진읍 화포리","1**","단독","-","66.24","383","201610","11~20","2,700","2016","화포1길"
"강원도 고성군 죽왕면 가진리","*","단독","8m미만","38.66","132","201611","1~10","4,700","1954","가진길"
"강원도 고성군 죽왕면 가진리","2*","단독","8m미만","96.03","172","201611","1~10","16,380","2012","가진길"
"강원도 고성군 죽왕면 가진리","3*","단독","8m미만","26.95","211","201611","11~20","6,443","1968","가진길"
"강원도 고성군 죽왕면 공현진리","1**","단독","8m미만","26.95","67","201611","21~30","656","1968","null"
"강원도 고성군 죽왕면 공현진리","1**","단독","8m미만","26.95","111","201609","21~30","922","1968","공현진2길"
"강원도 고성군 죽왕면 공현진리","8*","단독","8m미만","26.95","112","201601","11~20","2,500","1968","공현진1길"
"강원도 고성군 죽왕면 공현진리","1**","단독","8m미만","63.4","165","201606","11~20","6,200","2013","공현진한옥길"
"강원도 고성군 죽왕면 공현진리","3**","단독","8m미만","224.46","331","201608","11~20","13,000","1996","동해대로"
"강원도 고성군 죽왕면 공현진리","2**","단독","8m미만","82.62","397","201605","21~31","5,000","1989","공현진한옥길"
"강원도 고성군 죽왕면 문암진리","4**","다가구","8m미만","193.17","165","201609","21~30","15,200","2002","자작도선사1길"
"강원도 고성군 죽왕면 문암진리","3**","다가구","8m미만","397.16","708","201610","11~20","36,060","null","문암항1길"
"강원도 고성군 죽왕면 문암진리","1*","단독","8m미만","26.94","89","201606","11~20","1,700","1969","문암항3길"
"강원도 고성군 죽왕면 문암진리","1*","단독","8m미만","26.95","89","201602","11~20","1,620","1968","문암항3길"
"강원도 고성군 죽왕면 문암진리","1*","단독","8m미만","26.94","95","201607","21~31","3,800","1968","문암항3길"
"강원도 고성군 죽왕면 문암진리","1*","단독","12m미만","86.62","208","201605","21~31","16,700","2010","문암항길"
"강원도 고성군 죽왕면 문암진리","1*","단독","8m미만","89.14","236","201606","11~20","5,012","1955","문암항2길"
"강원도 고성군 죽왕면 문암진리","4**","단독","8m미만","98.4","254","201608","11~20","8,000","1998","자작도선사1길"
"강원도 고성군 죽왕면 문암진리","1*","단독","12m미만","64.26","474","201608","11~20","7,500","1939","문암항길"
"강원도 고성군 죽왕면 문암진리","1**","단독","8m미만","286.54","499","201605","21~31","20,500","1996","괘진길"
"강원도 고성군 죽왕면 문암진리","2**","단독","8m미만","225.03","660","201606","21~30","14,050","2001","괘진길"
"강원도 고성군 죽왕면 삼포리","2**","다가구","8m미만","150.89","364","201604","11~20","10,000","2003","삼포민박촌길"
"강원도 고성군 죽왕면 삼포리","2**","단독","8m미만","168.52","365","201603","1~10","14,010","1992","삼포민박촌1길"
"강원도 고성군 죽왕면 삼포리","2**","단독","8m미만","283.92","384","201606","21~30","14,000","1985","삼포민박촌길"
"강원도 고성군 죽왕면 삼포리","2**","단독","8m미만","171.48","396","201603","1~10","13,330","1985","삼포민박촌길"
"강원도 고성군 죽왕면 삼포리","2**","단독","8m미만","97.96","414","201608","11~20","15,100","1992","삼포민박촌1길"
"강원도 고성군 죽왕면 삼포리","2**","단독","8m미만","65.55","562","201608","21~31","10,400","1969","황포1길"
"강원도 고성군 죽왕면 야촌리","7**","단독","12m미만","82.36","318","201605","11~20","9,595","1997","운봉산로"
"강원도 고성군 죽왕면 야촌리","6**","단독","12m미만","66","443","201608","21~31","7,800","1981","운봉산로"
"강원도 고성군 죽왕면 야촌리","1***","단독","8m미만","99","536","201607","11~20","9,500","2012","곡실평길"
"강원도 고성군 죽왕면 야촌리","1***","단독","8m미만","90.2","693","201607","1~10","11,000","2013","곡실평길"
"강원도 고성군 죽왕면 오봉리","4**","단독","8m미만","52","446","201607","1~10","10,000","2001","송지호로"
"강원도 고성군 죽왕면 오호리","9*","단독","8m미만","84.24","295","201601","1~10","23,000","2015","인정길"
"강원도 고성군 죽왕면 오호리","1**","단독","8m미만","93.9","303","201607","21~31","11,800","1979","오호길"
