"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 홍천군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 홍천군 남면 남노일리","2**","단독","12m미만","150.5","513","201607","21~31","15,000","1997","남노일로"
"강원도 홍천군 남면 시동리","1***","단독","8m미만","49.59","215","201603","11~20","4,544","1989","시동안로"
"강원도 홍천군 남면 시동리","1***","단독","8m미만","28","245","201607","11~20","6,933","1994","망덕산로157번길"
"강원도 홍천군 남면 시동리","1***","단독","8m미만","120.05","430","201607","11~20","23,472","2007","시동안로125번길"
"강원도 홍천군 남면 시동리","9**","단독","8m미만","112.65","531","201612","11~20","19,000","2011","시동안로125번길"
"강원도 홍천군 남면 시동리","6**","단독","8m미만","98.01","660","201606","11~20","16,000","2007","망덕산로"
"강원도 홍천군 남면 신대리","7**","단독","8m미만","33.25","260","201607","1~10","9,200","2013","고음실길"
"강원도 홍천군 남면 신대리","1***","단독","8m미만","88.62","653","201601","21~31","11,000","2012","시동로"
"강원도 홍천군 남면 신대리","8**","단독","8m미만","114.1","661","201610","1~10","24,000","1998","덕머리길"
"강원도 홍천군 남면 신대리","7**","단독","8m미만","89.88","663","201612","21~31","11,480","2003","고음실길"
"강원도 홍천군 남면 양덕원리","1*","단독","8m미만","54.23","219","201608","21~31","8,770","2010","양덕원로"
"강원도 홍천군 남면 양덕원리","2**","단독","8m미만","46.31","350","201602","21~29","3,300","1975","남노일로"
"강원도 홍천군 남면 양덕원리","6*","단독","8m미만","99.15","660","201607","1~10","11,000","2006","새작들길"
"강원도 홍천군 남면 용수리","1**","단독","8m미만","95.37","660","201612","11~20","25,739","2015","남노일로"
"강원도 홍천군 남면 월천리","2**","다가구","12m미만","235.6","574","201603","1~10","24,830","2005","설악로"
"강원도 홍천군 남면 월천리","8*","단독","8m미만","61.09","1348","201604","11~20","11,000","null","월천길"
"강원도 홍천군 남면 유목정리","6*","단독","8m미만","86.69","255","201604","1~10","11,778","2006","봉상촌길"
"강원도 홍천군 남면 유치리","3**","단독","12m미만","117.55","699","201602","11~20","5,500","1951","시동로"
"강원도 홍천군 남면 유치리","6**","단독","8m미만","108.89","834","201605","11~20","6,821","1998","오지울길"
"강원도 홍천군 남면 화전리","3**","단독","8m미만","199.82","516","201607","21~31","19,100","2000","어두원이길"
"강원도 홍천군 남면 화전리","9**","단독","8m미만","145.89","545","201606","1~10","18,300","2012","한서로"
"강원도 홍천군 남면 화전리","2**","단독","8m미만","99.39","763","201611","1~10","12,800","null","어두원이길"
"강원도 홍천군 내면 광원리","1***","단독","8m미만","49.6","603","201604","11~20","6,200","1943","섬터길"
"강원도 홍천군 내면 광원리","5**","단독","8m미만","88.2","637","201606","1~10","10,000","2010","구룡령로"
"강원도 홍천군 내면 광원리","7**","단독","8m미만","142.86","660","201610","11~20","25,000","2003","구룡령로"
"강원도 홍천군 내면 광원리","1***","단독","12m미만","423.11","976","201606","11~20","34,000","1997","내린천로"
"강원도 홍천군 내면 명개리","6*","단독","8m미만","117.4","656","201609","21~30","6,200","1999","통마람길"
"강원도 홍천군 내면 율전리","1***","다가구","8m미만","195.58","660","201603","21~31","20,000","2008","우물골길"
"강원도 홍천군 내면 율전리","1***","단독","8m미만","61.69","196","201608","11~20","7,500","2006","구룡령로"
"강원도 홍천군 내면 율전리","1***","단독","8m미만","106.22","650","201602","1~10","4,700","2001","돌배나무길"
"강원도 홍천군 내면 자운리","3**","단독","-","27.38","344","201608","21~31","1,600","1900","운두령로"
"강원도 홍천군 내면 창촌리","5**","단독","8m미만","32","330","201606","11~20","1,288","2010","소한동길"
"강원도 홍천군 내면 창촌리","5**","단독","8m미만","68.78","387","201603","1~10","2,000","1994","소한동길"
"강원도 홍천군 내면 창촌리","1***","단독","8m미만","92.16","435","201609","1~10","3,000","1996","창촌로"
"강원도 홍천군 내면 창촌리","1***","단독","8m미만","129.15","661","201605","11~20","8,000","2000","거무평길"
"강원도 홍천군 내촌면 광암리","6**","단독","-","61.8","660","201604","11~20","7,042","2016","가족동1길"
"강원도 홍천군 내촌면 답풍리","3**","단독","8m미만","111.07","660","201608","11~20","14,054","2004","솔경지길"
"강원도 홍천군 내촌면 답풍리","2**","단독","8m미만","103.2","872","201611","21~30","14,000","2016","가래올길"
"강원도 홍천군 내촌면 도관리","8**","단독","-","68.77","262","201605","21~31","8,000","2004","내촌큰골길"
"강원도 홍천군 내촌면 도관리","8**","단독","8m미만","41.45","297","201604","1~10","14,500","2014","백우산길96번길"
"강원도 홍천군 내촌면 도관리","4**","단독","8m미만","219.16","314","201602","21~29","10,500","1998","도관길"
"강원도 홍천군 내촌면 도관리","4**","단독","8m미만","77.7","347","201604","11~20","6,500","1977","아홉사리로"
"강원도 홍천군 내촌면 물걸리","3**","단독","8m미만","89.67","452","201607","1~10","7,000","2015","동창로181번길"
"강원도 홍천군 내촌면 물걸리","1***","단독","8m미만","97.77","660","201612","21~31","21,083","2011","조운길"
"강원도 홍천군 내촌면 서곡리","1**","다가구","8m미만","189.84","728","201605","1~10","21,700","2002","여창길269번길"
"강원도 홍천군 내촌면 서곡리","3**","단독","8m미만","82.64","442","201602","1~10","22,821","2005","선바위길"
"강원도 홍천군 내촌면 와야리","9**","단독","8m미만","80.76","330","201610","21~31","4,480","2004","비선동길"
"강원도 홍천군 내촌면 와야리","1**","단독","8m미만","89.5","330","201605","21~31","8,500","2001","아홉사리로"
"강원도 홍천군 내촌면 화상대리","7**","다가구","8m미만","163.83","240","201601","21~31","27,536","2016","어은동길"
"강원도 홍천군 내촌면 화상대리","7**","다가구","8m미만","163.83","240","201601","21~31","27,536","2016","어은동길"
"강원도 홍천군 내촌면 화상대리","7**","다가구","8m미만","163.83","240","201601","21~31","27,536","2015","어은동길"
"강원도 홍천군 내촌면 화상대리","7**","다가구","8m미만","163.83","272","201601","21~31","28,384","2015","어은동길"
"강원도 홍천군 내촌면 화상대리","7**","단독","8m미만","163.83","240","201601","21~31","27,536","2016","어은동길"
"강원도 홍천군 내촌면 화상대리","3**","단독","8m미만","99.85","445","201608","11~20","10,200","2009","연못골길170번길"
"강원도 홍천군 내촌면 화상대리","8**","단독","8m미만","113.41","510","201607","21~31","12,200","2010","연못골길"
"강원도 홍천군 내촌면 화상대리","7**","단독","8m미만","97.5","594","201606","21~30","14,850","2015","어은동길"
"강원도 홍천군 내촌면 화상대리","1***","단독","8m미만","96.39","885","201605","11~20","20,844","2010","아홉사리로"
"강원도 홍천군 내촌면 화상대리","3**","단독","8m미만","99.85","929","201601","11~20","10,000","2009","연못골길170번길"
"강원도 홍천군 내촌면 화상대리","1***","단독","8m미만","129.18","1018","201609","1~10","7,000","2001","아홉사리로"
"강원도 홍천군 동면 개운리","2**","단독","8m미만","84","212","201604","11~20","13,000","1996","월운로"
"강원도 홍천군 동면 개운리","3**","단독","8m미만","81.75","361","201602","11~20","13,680","2011","월운로"
"강원도 홍천군 동면 개운리","1**","단독","12m미만","296.41","562","201603","11~20","11,200","2001","월운로"
"강원도 홍천군 동면 개운리","2**","단독","8m미만","199.16","660","201604","11~20","30,700","1999","null"
"강원도 홍천군 동면 노천리","7**","단독","8m미만","31.34","330","201605","11~20","6,900","2010","약초마을길"
