"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 정선군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 정선군 고한읍 고한리","1**","단독","8m미만","43.12","56","201605","11~20","2,000","1980","고한1길"
"강원도 정선군 고한읍 고한리","1**","단독","8m미만","43.12","56","201612","11~20","2,300","1980","고한1길"
"강원도 정선군 고한읍 고한리","2**","단독","8m미만","23.49","60","201610","21~31","3,000","1983","물한리길"
"강원도 정선군 고한읍 고한리","1**","단독","8m미만","27.04","65","201604","11~20","3,800","1983","물한리길"
"강원도 정선군 고한읍 고한리","1**","단독","8m미만","44.52","76","201605","1~10","9,500","1980","고한1길"
"강원도 정선군 고한읍 고한리","2**","단독","8m미만","42.72","105","201606","1~10","8,600","1983","물한리길"
"강원도 정선군 고한읍 고한리","1*","단독","8m미만","31.05","135","201605","21~31","5,000","1984","부금소길"
"강원도 정선군 고한읍 고한리","2**","단독","8m미만","78.72","154","201603","11~20","16,000","1995","고한1길"
"강원도 정선군 남면 무릉리","6**","단독","8m미만","57.96","104","201609","1~10","7,300","1980","도원1길"
"강원도 정선군 남면 무릉리","6**","단독","8m미만","59.4","168","201611","1~10","6,500","1980","무릉2로"
"강원도 정선군 남면 무릉리","7**","단독","12m미만","98.13","189","201605","11~20","11,500","2002","무릉3로"
"강원도 정선군 남면 무릉리","6**","단독","8m미만","66.11","257","201602","21~29","6,600","1980","도원2길"
"강원도 정선군 남면 무릉리","4**","단독","8m미만","97.5","648","201610","1~10","15,000","2011","민둥산로"
"강원도 정선군 남면 문곡리","1**","단독","8m미만","28.56","59","201604","21~30","1,500","1980","별어곡2길"
"강원도 정선군 남면 문곡리","1**","단독","8m미만","28.56","119","201608","1~10","1,500","1980","별어곡2길"
"강원도 정선군 남면 문곡리","5*","단독","12m미만","39","300","201608","21~31","5,500","2012","칠현로"
"강원도 정선군 북평면 남평리","8**","단독","8m미만","62.5","127.3","201610","1~10","5,000","1980","오두길"
"강원도 정선군 북평면 남평리","5**","단독","8m미만","30.6","296","201611","1~10","3,500","1980","갈번지길"
"강원도 정선군 북평면 남평리","2**","단독","8m미만","117","641","201606","1~10","3,700","1980","송석길"
"강원도 정선군 북평면 문곡리","1**","단독","8m미만","67.5","420","201604","1~10","8,840","2007","스무길"
"강원도 정선군 북평면 문곡리","3**","단독","8m미만","109.44","588","201601","11~20","10,620","1993","문곡강변길"
"강원도 정선군 북평면 북평리","6**","단독","12m미만","45.26","85","201601","21~31","2,500","1980","북평7길"
