"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 평창군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 평창군 대관령면 수하리","6*","단독","8m미만","143.53","439","201612","11~20","13,000","2011","수하1길"
"강원도 평창군 대관령면 용산리","2**","단독","8m미만","85.9","496","201605","11~20","12,260","2002","솔봉로"
"강원도 평창군 대관령면 용산리","2**","단독","8m미만","85.9","496","201611","1~10","16,600","2002","솔봉로"
"강원도 평창군 대관령면 용산리","6**","단독","8m미만","192.08","553","201612","11~20","10,300","2001","올림픽로"
"강원도 평창군 대관령면 유천리","7**","단독","8m미만","129.55","271","201606","11~20","15,000","2005","전나무길"
"강원도 평창군 대관령면 유천리","6**","단독","8m미만","126.02","440","201611","1~10","13,000","1983","골말길"
"강원도 평창군 대관령면 차항리","1**","다가구","8m미만","199.14","532","201605","11~20","40,000","2010","차항길"
"강원도 평창군 대관령면 차항리","1**","다가구","8m미만","183.92","788","201603","1~10","20,580","2008","차항길"
"강원도 평창군 대관령면 차항리","1**","단독","8m미만","104.06","375","201610","1~10","10,000","1995","차항길"
"강원도 평창군 대관령면 차항리","1**","단독","8m미만","99.28","719","201611","21~30","18,000","2007","차항길"
"강원도 평창군 대관령면 차항리","1**","단독","8m미만","221.88","1281","201609","21~30","43,000","2012","차항길"
"강원도 평창군 대관령면 횡계리","3**","다가구","8m미만","451.64","671","201607","11~20","51,000","2000","오류동길"
"강원도 평창군 대관령면 횡계리","3**","단독","8m미만","36.5","111","201604","11~20","5,500","1970","송전길"
"강원도 평창군 대관령면 횡계리","3**","단독","25m미만","64.66","150","201607","21~31","43,900","1960","횡계길"
"강원도 평창군 대관령면 횡계리","3**","단독","8m미만","34.53","195","201607","1~10","6,409","1960","횡계1길"
"강원도 평창군 대관령면 횡계리","2**","단독","8m미만","70.18","397","201606","21~30","8,200","1980","종지목길"
"강원도 평창군 대관령면 횡계리","6**","단독","25m미만","148.82","398","201609","11~20","50,000","1983","눈마을길"
"강원도 평창군 대관령면 횡계리","8*","단독","8m미만","206.3","496","201612","1~10","35,000","2005","경강로"
"강원도 평창군 대관령면 횡계리","7*","단독","8m미만","109.92","582","201608","11~20","10,000","1985","솔바위길"
"강원도 평창군 대관령면 횡계리","2**","단독","8m미만","123.81","660","201610","21~31","23,000","2008","꽃밭양지길"
"강원도 평창군 대관령면 횡계리","2**","단독","8m미만","198.18","846","201612","21~31","59,000","2008","오목길"
"강원도 평창군 대화면 개수리","3*","단독","8m미만","67.69","248","201611","21~30","7,000","2011","외솔덧개수길"
"강원도 평창군 대화면 개수리","6**","단독","8m미만","116.53","432","201603","11~20","18,500","2006","전의동길"
"강원도 평창군 대화면 개수리","9**","단독","8m미만","114","480","201607","11~20","10,000","2004","장미산길"
"강원도 평창군 대화면 개수리","3**","단독","12m미만","132.53","1036","201610","21~31","20,500","2014","비창길"
"강원도 평창군 대화면 개수리","1**","단독","8m미만","100.37","1225","201603","21~31","10,500","2010","외솔덧개수길"
"강원도 평창군 대화면 개수리","2**","단독","8m미만","217.76","1718","201612","11~20","19,400","2010","금당계곡로"
"강원도 평창군 대화면 대화리","1***","단독","25m미만","55","73","201612","11~20","4,000","1982","대화중앙로"
"강원도 평창군 대화면 대화리","1***","단독","12m미만","69.65","271","201604","1~10","6,000","2011","평창대로"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","83.68","285","201605","1~10","5,000","2014","웃대화1길"
"강원도 평창군 대화면 대화리","8**","단독","25m미만","200.34","293","201609","21~30","17,000","1993","대화중앙로"
"강원도 평창군 대화면 대화리","1**","단독","8m미만","85.47","330","201608","1~10","8,500","2006","던짓골1길"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","46.85","407","201610","21~31","12,000","1975","대화시장1길"
"강원도 평창군 대화면 대화리","1***","단독","12m미만","96.12","412.2","201604","21~30","15,000","1995","문화택지길"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","158.13","433.6","201603","21~31","23,000","2007","문화택지길"
"강원도 평창군 대화면 대화리","1***","단독","8m미만","116.1","573","201601","21~31","3,000","1950","해뜰마을길"
"강원도 평창군 대화면 대화리","9*","단독","8m미만","55.3","628","201606","21~30","5,180","1997","던짓골2길"
"강원도 평창군 대화면 상안미리","6**","단독","8m미만","111.14","261","201612","11~20","3,800","1963","상안미옛길"
"강원도 평창군 대화면 상안미리","6**","단독","8m미만","111.14","261","201603","21~31","3,800","1963","상안미옛길"
"강원도 평창군 대화면 신리","8**","단독","8m미만","69.4","303","201603","1~10","5,000","1984","구운동길"
"강원도 평창군 대화면 신리","3**","단독","8m미만","59.94","479","201608","11~20","8,500","1997","고토곡길"
"강원도 평창군 대화면 신리","8**","단독","12m미만","47.08","493","201606","21~30","7,000","1962","평창대로"
"강원도 평창군 대화면 하안미리","7*","다가구","8m미만","126.5","323","201606","21~30","31,000","2014","중왕산길"
"강원도 평창군 대화면 하안미리","1**","단독","8m미만","66.95","247","201602","1~10","2,000","1992","중왕산길"
"강원도 평창군 대화면 하안미리","4**","단독","12m미만","82.29","363","201612","21~31","3,000","1960","가평로"
"강원도 평창군 대화면 하안미리","4*","단독","8m미만","101.34","369.6","201608","11~20","5,800","2006","중왕산길"
"강원도 평창군 대화면 하안미리","1***","단독","12m미만","128.41","384","201606","11~20","3,500","1960","하안미길"
"강원도 평창군 대화면 하안미리","1*","단독","8m미만","77.1","573","201608","11~20","7,000","2002","중왕산길"
"강원도 평창군 대화면 하안미리","2**","단독","8m미만","99.72","714","201611","1~10","26,000","2009","가평로"
"강원도 평창군 대화면 하안미리","2**","단독","8m미만","99.72","714","201601","21~31","26,000","2009","가평로"
"강원도 평창군 대화면 하안미리","5**","단독","8m미만","114.99","1127","201602","11~20","24,300","2012","도원1길"
"강원도 평창군 미탄면 기화리","3**","단독","8m미만","150.79","579","201607","21~31","12,282","2007","평창동강로"
"강원도 평창군 미탄면 마하리","2**","단독","8m미만","84","610","201608","21~31","11,000","2004","마하길"
"강원도 평창군 미탄면 창리","7**","단독","8m미만","113.62","191","201603","11~20","4,800","1960","미탄시장길"
"강원도 평창군 미탄면 회동리","6**","단독","8m미만","74.4","612","201603","11~20","7,600","1996","수리재길"
"강원도 평창군 방림면 계촌리","1***","단독","8m미만","122.5","220","201610","1~10","3,412","1960","계촌길"
"강원도 평창군 방림면 계촌리","2***","단독","8m미만","49.59","270","201611","1~10","5,100","2010","null"
"강원도 평창군 방림면 계촌리","8**","단독","8m미만","63.21","323","201603","21~31","8,000","2000","삼형제길"
"강원도 평창군 방림면 계촌리","7**","단독","8m미만","64.96","337","201605","11~20","13,000","2013","null"
"강원도 평창군 방림면 계촌리","7**","단독","8m미만","80.48","460","201612","21~31","12,800","2014","null"
"강원도 평창군 방림면 계촌리","1***","단독","-","58.5","462","201612","21~31","15,000","2016","null"
"강원도 평창군 방림면 계촌리","5**","단독","8m미만","81.14","486","201601","21~31","7,508","1992","대미동길"
"강원도 평창군 방림면 계촌리","1***","단독","8m미만","48.56","500","201610","1~10","13,816","2013","고원로"
"강원도 평창군 방림면 계촌리","7**","단독","8m미만","58.32","500","201603","1~10","10,000","2015","대미동길"
"강원도 평창군 방림면 계촌리","9**","단독","8m미만","66.84","549","201604","21~30","13,400","2016","삼형제길"
"강원도 평창군 방림면 계촌리","7**","단독","8m미만","113.26","607","201607","11~20","16,000","2013","null"
"강원도 평창군 방림면 계촌리","1***","단독","-","99.94","617","201610","21~31","17,500","2016","삼형제길"
"강원도 평창군 방림면 계촌리","1***","단독","-","54.61","647","201612","21~31","16,800","2016","들모고개길"
"강원도 평창군 방림면 계촌리","1***","단독","-","76.71","647","201612","21~31","15,800","2016","들모고개길"
"강원도 평창군 방림면 계촌리","6**","단독","8m미만","99.36","659","201610","1~10","15,500","2014","대미동길"
"강원도 평창군 방림면 계촌리","1***","단독","8m미만","89.14","760","201604","1~10","14,150","2011","계촌길"
"강원도 평창군 방림면 계촌리","7**","단독","8m미만","82.35","775","201601","11~20","15,100","2015","null"
"강원도 평창군 방림면 계촌리","6**","단독","-","80.56","800","201610","11~20","15,900","2016","대미동길"
"강원도 평창군 방림면 계촌리","6**","단독","8m미만","95.52","850","201602","11~20","15,000","2008","대미동길"
"강원도 평창군 방림면 계촌리","7**","단독","-","81.92","911","201610","1~10","15,250","2016","null"
"강원도 평창군 방림면 계촌리","7**","단독","8m미만","128.88","1660","201602","1~10","20,000","2015","대미동길"
"강원도 평창군 방림면 계촌리","1***","단독","8m미만","82.5","4131","201601","21~31","11,000","2004","들모고개길"
"강원도 평창군 방림면 방림리","1***","단독","8m미만","30.25","93","201604","21~30","6,500","2014","골미길"
"강원도 평창군 방림면 방림리","1***","단독","12m미만","98.51","654","201612","11~20","10,000","1997","서동로"
"강원도 평창군 방림면 방림리","1***","단독","8m미만","103.04","748","201604","11~20","12,500","2004","고원로"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","91.5","229","201601","11~20","17,264","2012","칡사리길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","48","252","201603","11~20","7,200","2009","칡사리길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","52.08","284","201610","11~20","6,500","2002","칡사리길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","68.71","298","201608","11~20","10,170","2012","칡사리길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","98.4","329","201610","11~20","19,000","1998","운지로"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","66.31","454","201605","11~20","13,480","2012","칡사리길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","94.1","495","201608","21~31","14,700","2014","칡사리길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","127.53","573","201606","11~20","19,250","2012","운지로"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","90.8","582","201601","1~10","12,000","2005","서동로"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","125.85","651","201604","11~20","16,000","2007","배나무골길"
"강원도 평창군 방림면 운교리","6**","단독","8m미만","135.95","660","201610","1~10","19,000","2008","들모고개길"
"강원도 평창군 방림면 운교리","1***","단독","8m미만","74.51","665","201612","1~10","13,000","2001","칡사리길"
"강원도 평창군 방림면 운교리","3**","단독","8m미만","116.2","750","201606","1~10","12,414","2008","여우재길"
"강원도 평창군 방림면 운교리","6**","단독","8m미만","128.86","900","201605","11~20","21,200","2010","들모고개길"
"강원도 평창군 방림면 운교리","5**","단독","8m미만","100.4","1322","201612","1~10","39,960","2005","여우재2길"
"강원도 평창군 봉평면 면온리","1*","단독","8m미만","48.5","331","201608","11~20","7,000","2006","거품소길"
"강원도 평창군 봉평면 면온리","4**","단독","8m미만","71.89","357","201610","21~31","4,770","2014","태기로"
"강원도 평창군 봉평면 면온리","3**","단독","8m미만","123.44","449","201610","11~20","9,970","2004","설다목길"
"강원도 평창군 봉평면 면온리","7**","단독","8m미만","244.24","873","201605","21~31","25,000","2004","석이바우길"
"강원도 평창군 봉평면 무이리","8**","단독","12m미만","94.59","390","201602","21~29","21,146","2011","경강로"
"강원도 평창군 봉평면 무이리","6*","단독","8m미만","147.04","516","201605","21~31","18,000","2015","백운동길"
"강원도 평창군 봉평면 무이리","1***","단독","8m미만","105.75","579","201612","21~31","40,700","2005","안흥동2길"
"강원도 평창군 봉평면 무이리","9**","단독","8m미만","189.69","613","201612","21~31","19,916","2003","팔송로"
"강원도 평창군 봉평면 무이리","9**","단독","8m미만","176.88","628","201603","1~10","29,700","2011","경강로"
"강원도 평창군 봉평면 무이리","4**","단독","8m미만","84.72","640","201602","21~29","18,200","2010","백운동1길"
"강원도 평창군 봉평면 무이리","1***","단독","8m미만","148","660","201603","11~20","10,930","1997","null"
"강원도 평창군 봉평면 무이리","1***","단독","8m미만","148","660","201602","11~20","10,930","1997","null"
"강원도 평창군 봉평면 무이리","1***","단독","8m미만","148","660","201602","21~29","10,930","1997","null"
"강원도 평창군 봉평면 무이리","5*","단독","8m미만","138.94","661","201607","11~20","13,200","2014","봉평북로"
"강원도 평창군 봉평면 무이리","8*","단독","8m미만","133.9","826","201602","11~20","25,000","2015","사리평길"
"강원도 평창군 봉평면 무이리","1***","단독","8m미만","1115.4","2230","201602","21~29","104,000","2004","안흥동길"
"강원도 평창군 봉평면 원길리","7**","다가구","8m미만","118.65","662","201607","1~10","15,800","2011","사리평길"
"강원도 평창군 봉평면 원길리","6**","단독","8m미만","89.44","330","201607","1~10","20,000","2006","전나무골길"
"강원도 평창군 봉평면 원길리","2**","단독","8m미만","198.11","390","201611","1~10","16,400","1994","이효석길"
"강원도 평창군 봉평면 원길리","3**","단독","8m미만","84.99","424","201610","21~31","14,000","1994","은행마을길"
"강원도 평창군 봉평면 원길리","6**","단독","8m미만","151.2","632","201609","1~10","11,500","1994","전나무골길"
"강원도 평창군 봉평면 원길리","8*","단독","8m미만","96.1","1200","201607","21~31","7,500","1949","null"
"강원도 평창군 봉평면 원길리","8*","단독","8m미만","219.44","1201","201607","21~31","23,000","2002","null"
"강원도 평창군 봉평면 유포리","5*","다가구","8m미만","199.47","660","201609","1~10","20,000","2003","금당계곡로"
"강원도 평창군 봉평면 유포리","6**","다가구","8m미만","195.93","1000","201603","21~31","21,500","2003","수림대길"
"강원도 평창군 봉평면 유포리","2**","단독","8m미만","127.67","446","201608","11~20","11,500","2007","버들개길"
"강원도 평창군 봉평면 유포리","5**","단독","8m미만","66.49","4482","201608","1~10","17,644","2001","수림대길"
"강원도 평창군 봉평면 진조리","4*","단독","8m미만","141.24","496","201609","1~10","17,732","2009","진조길"
"강원도 평창군 봉평면 창동리","8*","단독","8m미만","125.16","331","201610","11~20","13,400","2010","방축동길"
"강원도 평창군 봉평면 창동리","2**","단독","8m미만","96.23","350","201605","1~10","3,341","1981","장촌길"
"강원도 평창군 봉평면 평촌리","7**","다가구","8m미만","168.26","660","201601","11~20","24,600","2002","금산동길"
"강원도 평창군 봉평면 평촌리","2**","단독","8m미만","122.16","401","201604","1~10","10,890","2002","후군동길"
"강원도 평창군 봉평면 흥정리","3**","다가구","8m미만","330.82","661","201603","1~10","35,600","2011","흥정계곡4길"
"강원도 평창군 봉평면 흥정리","3**","단독","8m미만","308.26","499","201605","21~31","22,900","2005","흥정계곡길"
"강원도 평창군 봉평면 흥정리","3**","단독","8m미만","360.36","499","201605","21~31","27,900","2005","흥정계곡길"
