"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 속초시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 속초시 교동","9**","다가구","8m미만","390.55","204.3","201610","21~31","43,500","1999","밤골3길"
"강원도 속초시 교동","9**","다가구","8m미만","420.89","207","201607","21~31","46,700","2001","먹거리6길"
"강원도 속초시 교동","9**","다가구","8m미만","378.52","222.1","201608","21~31","53,900","2005","밤골6길"
"강원도 속초시 교동","7**","다가구","8m미만","191.07","224","201604","1~10","22,300","1991","만리공원길"
"강원도 속초시 교동","9**","다가구","8m미만","485.68","229.1","201606","1~10","39,000","1996","밤골길"
"강원도 속초시 교동","9**","다가구","8m미만","447.15","239.1","201606","11~20","49,000","1996","밤골3길"
"강원도 속초시 교동","6**","다가구","12m미만","524.68","256","201610","11~20","98,000","2016","교동로1길"
"강원도 속초시 교동","7**","다가구","8m미만","194.6","329","201606","11~20","15,000","2015","교동로6길"
"강원도 속초시 교동","7**","다가구","8m미만","552.52","333","201606","21~30","60,000","2007","만천1길"
"강원도 속초시 교동","6**","단독","25m미만","51","55","201608","1~10","6,800","null","수복로"
"강원도 속초시 교동","6**","단독","25m미만","51","55","201607","1~10","6,500","1959","수복로"
"강원도 속초시 교동","7**","단독","8m미만","26.44","77","201607","21~31","4,500","1968","교동로8길"
