"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 태백시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 태백시 금천동","1*","단독","8m미만","240.74","128","201610","21~31","7,000","2010","금천길"
"강원도 태백시 금천동","4*","단독","8m미만","60","268","201608","1~10","2,000","1985","금천길"
"강원도 태백시 문곡동","2*","단독","8m미만","50.8","135","201608","1~10","3,700","1981","진골길"
"강원도 태백시 문곡동","2*","단독","8m미만","95.2","389","201603","11~20","14,900","1998","황장목이길"
"강원도 태백시 소도동","1**","단독","8m미만","40.5","128","201604","11~20","1,000","1977","용담2길"
"강원도 태백시 소도동","1**","단독","8m미만","40.5","128","201608","1~10","1,250","1977","용담2길"
"강원도 태백시 소도동","1*","단독","8m미만","41.36","132","201611","11~20","1,900","1985","소도길"
"강원도 태백시 소도동","2**","단독","8m미만","97.2","418","201603","11~20","8,060","2004","태백산로"
"강원도 태백시 장성동","1**","단독","8m미만","68","7","201612","1~10","1,000","1996","null"
"강원도 태백시 장성동","1**","단독","8m미만","57.4","50","201608","21~31","1,300","1980","장성시장1길"
"강원도 태백시 장성동","1**","단독","8m미만","37.8","53","201610","11~20","1,000","1985","장성시장2길"
"강원도 태백시 장성동","5*","단독","8m미만","35.25","84","201610","11~20","1,460","1996","장성로"
"강원도 태백시 장성동","2**","단독","8m미만","25.08","144","201601","1~10","300","1983","계산2길"
"강원도 태백시 장성동","6*","단독","8m미만","39.09","185.33","201609","11~20","3,000","1973","하장성2길"
"강원도 태백시 장성동","2**","단독","8m미만","55.29","205","201606","11~20","5,000","2003","계산7길"
"강원도 태백시 철암동","4**","단독","8m미만","34.48","104","201602","21~29","500","1983","삼방1길"
