"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 영월군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 영월군 김삿갓면 옥동리","1**","단독","8m미만","54","327","201608","1~10","3,300","1998","장터뒷길"
"강원도 영월군 김삿갓면 와석리","7**","단독","8m미만","149.63","562","201601","21~31","5,830","2002","김삿갓로"
"강원도 영월군 김삿갓면 외룡리","7**","단독","-","29.23","172","201610","11~20","2,000","2014","null"
"강원도 영월군 김삿갓면 외룡리","7**","단독","-","29.23","199","201610","11~20","2,000","2014","null"
"강원도 영월군 김삿갓면 외룡리","7**","단독","-","29.23","217","201608","21~31","2,500","2014","null"
"강원도 영월군 김삿갓면 외룡리","7**","단독","8m미만","89.1","357","201609","21~30","4,000","2014","직실길"
"강원도 영월군 김삿갓면 외룡리","4**","단독","8m미만","129.55","500","201602","1~10","9,900","2012","음지마을길"
"강원도 영월군 김삿갓면 외룡리","7**","단독","8m미만","67.33","626","201609","1~10","6,000","2009","직실길"
"강원도 영월군 김삿갓면 진별리","5**","단독","8m미만","67.41","430","201610","21~31","10,000","1985","영월동로"
"강원도 영월군 남면 광천리","3**","단독","8m미만","64.36","370","201605","1~10","4,000","2002","null"
"강원도 영월군 남면 북쌍리","3**","다가구","8m미만","163.8","980","201604","21~30","10,000","2010","갈골길"
"강원도 영월군 남면 북쌍리","2**","단독","8m미만","63.45","175","201606","11~20","6,000","1986","서강로"
"강원도 영월군 남면 연당리","1***","단독","8m미만","90.16","275","201604","1~10","6,400","1972","송정길"
"강원도 영월군 남면 연당리","8**","단독","8m미만","96.5","309","201602","21~29","14,000","1984","송정길"
"강원도 영월군 남면 연당리","9**","단독","8m미만","172.71","356","201605","1~10","16,100","1998","송정길"
"강원도 영월군 남면 연당리","9**","단독","8m미만","100.26","388.7","201604","11~20","18,000","2011","조양마을길"
"강원도 영월군 남면 연당리","1***","단독","8m미만","85.1","608","201603","21~31","1,500","2005","영월로"
"강원도 영월군 남면 토교리","8*","단독","8m미만","44.9","283","201606","11~20","7,000","1988","토교로"
"강원도 영월군 남면 토교리","1***","단독","8m미만","201.94","599","201611","1~10","8,500","1997","토교로"
"강원도 영월군 무릉도원면 두산리","1***","단독","8m미만","115.68","407","201605","1~10","22,213","2011","두산길"
"강원도 영월군 무릉도원면 두산리","4**","단독","8m미만","75.38","461","201610","1~10","14,650","1996","null"
"강원도 영월군 무릉도원면 두산리","8**","단독","8m미만","161.76","864","201611","21~30","18,000","2013","null"
"강원도 영월군 무릉도원면 무릉리","7**","단독","8m미만","53.76","330","201603","11~20","6,500","2002","무릉법흥로"
"강원도 영월군 무릉도원면 무릉리","1***","단독","8m미만","40.05","417","201610","11~20","4,000","1996","null"
"강원도 영월군 무릉도원면 무릉리","1***","단독","12m미만","149.63","660","201611","11~20","24,000","2007","무릉길"
"강원도 영월군 무릉도원면 무릉리","8**","단독","8m미만","75.22","675","201611","1~10","13,400","1993","null"
"강원도 영월군 무릉도원면 법흥리","7**","단독","8m미만","81.4","310","201607","21~31","4,500","1996","무릉법흥로"
"강원도 영월군 무릉도원면 법흥리","7**","단독","8m미만","98.5","581","201608","21~31","5,825","1998","술면길"
"강원도 영월군 무릉도원면 법흥리","7**","단독","8m미만","113.4","660","201605","21~31","22,000","2007","무릉법흥로"
"강원도 영월군 무릉도원면 운학리","1***","단독","8m미만","67.8","236","201606","21~30","10,400","2014","덕은골길"
"강원도 영월군 무릉도원면 운학리","1***","단독","8m미만","93.2","257","201605","11~20","15,800","2006","덕은골길"
"강원도 영월군 무릉도원면 운학리","5**","단독","8m미만","75.96","382","201603","11~20","19,000","2003","운학큰골길"
"강원도 영월군 무릉도원면 운학리","5**","단독","-","129.69","595","201605","1~10","15,000","1992","도원운학로"
"강원도 영월군 무릉도원면 운학리","1***","단독","8m미만","67.05","620","201605","21~31","12,500","2011","고일길"
"강원도 영월군 무릉도원면 운학리","5**","단독","8m미만","90","660","201610","1~10","11,660","2016","손이골길"
"강원도 영월군 무릉도원면 운학리","4**","단독","8m미만","27","717","201611","11~20","6,000","2013","null"
"강원도 영월군 무릉도원면 운학리","1***","단독","-","84.32","908.32","201607","1~10","14,883","1994","도원운학로"
"강원도 영월군 북면 공기리","4**","단독","8m미만","46.84","496","201602","11~20","6,000","2015","장자터길"
"강원도 영월군 북면 공기리","1***","단독","8m미만","30.56","641","201605","1~10","9,500","2013","무동실길"
"강원도 영월군 북면 공기리","4**","단독","8m미만","53.25","660","201612","1~10","6,448","2010","장자터길"
"강원도 영월군 북면 마차리","1***","단독","8m미만","68.04","129","201604","1~10","4,900","1994","마차중앙1길"
"강원도 영월군 북면 마차리","1***","단독","12m미만","36.64","170","201604","21~30","3,500","1995","봉래산로"
"강원도 영월군 북면 마차리","4**","단독","12m미만","61.24","310","201611","11~20","8,000","2016","밤재로"
"강원도 영월군 북면 마차리","1***","단독","8m미만","78.97","576","201611","21~30","8,000","2013","미재골길"
"강원도 영월군 북면 문곡리","1**","단독","8m미만","120.62","403","201603","11~20","8,000","1990","시루산길"
"강원도 영월군 북면 연덕리","3**","단독","8m미만","119.5","660","201606","1~10","5,000","2005","원동재로"
"강원도 영월군 상동읍 구래리","9*","단독","12m미만","73.78","115","201611","1~10","760","1983","구래로"
"강원도 영월군 상동읍 구래리","4**","단독","8m미만","175.04","660","201610","11~20","13,000","2007","선바위길"
"강원도 영월군 상동읍 구래리","4**","단독","8m미만","175.04","660","201610","11~20","5,400","2007","선바위길"
"강원도 영월군 상동읍 구래리","2**","단독","8m미만","99.36","715","201605","11~20","5,300","2014","선바위길"
"강원도 영월군 상동읍 내덕리","6**","단독","12m미만","58.31","81","201608","21~31","2,900","1996","태백산로"
"강원도 영월군 상동읍 내덕리","3**","단독","12m미만","97.74","983","201608","11~20","17,000","2010","태백산로"
"강원도 영월군 영월읍 거운리","5**","다가구","8m미만","223.47","316","201609","21~30","22,500","2004","동강로"
"강원도 영월군 영월읍 덕포리","5**","단독","8m미만","38.9","54","201602","11~20","3,400","1996","덕포시장길"
"강원도 영월군 영월읍 덕포리","5**","단독","8m미만","44.62","55","201612","1~10","4,500","1959","덕포시장길"
"강원도 영월군 영월읍 덕포리","5**","단독","8m미만","25.41","56","201603","1~10","2,350","1986","영월로"
