"경찰서별",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"경찰서별",합계,합계,강력범,강력범,절도범,절도범,폭력범,폭력범,지능범,지능범,풍속범,풍속범,기타형사범,기타형사범,특별법범,특별법범
"경찰서별",발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"합계",58815,49509,706,671,5165,3568,10853,9841,8155,6832,229,188,3333,2987,30374,25422
"강원청",0,951,0,89,0,9,0,53,0,368,0,3,0,26,0,403
"춘천경찰서",11225,8820,127,105,1116,646,1818,1551,1314,997,39,35,672,506,6139,4980
"원주경찰서",14933,12030,144,112,1311,923,2941,2646,2183,1519,50,39,759,648,7545,6143
"강릉경찰서",7419,6025,108,96,762,469,1824,1595,1194,997,20,16,433,397,3078,2455
"동해경찰서",3407,2947,47,37,178,143,703,680,362,314,17,10,193,195,1907,1568
"태백경찰서",1528,1405,18,18,118,95,383,361,179,187,6,5,67,65,757,674
"속초경찰서",4828,3990,61,54,392,276,932,854,516,432,22,20,331,312,2574,2042
"삼척경찰서",3078,2587,27,24,225,141,585,520,365,329,12,11,159,153,1705,1409
"홍천경찰서",2758,2396,41,39,203,184,420,414,442,356,10,9,160,166,1482,1228
"횡성경찰서",1369,1183,17,17,128,112,181,164,158,117,5,5,76,72,804,696
"영월경찰서",1063,904,16,7,69,53,151,147,125,115,11,10,60,46,631,526
"평창경찰서",1475,1279,22,13,120,87,158,149,252,203,11,9,88,81,824,737
"정선경찰서",1923,1642,26,19,240,188,210,199,377,293,7,6,118,100,945,837
"철원경찰서",972,851,17,14,101,65,125,121,206,170,4,2,63,62,456,417
"화천경찰서",517,447,4,3,43,33,92,84,90,78,0,0,30,34,258,215
"양구경찰서",466,415,8,6,56,39,66,62,75,72,4,4,26,26,231,206
"인제경찰서",869,784,6,6,50,25,133,122,154,121,3,3,50,52,473,455
"고성경찰서",985,853,17,12,53,80,131,119,163,164,8,1,48,46,565,431
