시도명,시군구명,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
강원도,춘천시,B000004852,가산초등학교,초등학교,1936-09-15,공립,본교,운영,강원도 춘천시 동면 지내리  136-2,강원도 춘천시 동면 가산로  52,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.9086930,127.7825820,2017-09-05
강원도,춘천시,B000004853,만천초등학교,초등학교,1953-04-16,공립,본교,운영,강원도 춘천시 동면 만천리  978,강원도 춘천시 동면 후석로326번길  89,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8842725,127.7579254,2017-09-05
강원도,춘천시,B000004854,지촌초등학교,초등학교,1929-04-01,공립,본교,운영,강원도 춘천시 사북면 지촌리  347,강원도 춘천시 사북면 지촌길  130,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,38.0379538,127.6448853,2017-09-05
강원도,춘천시,B000004855,동내초등학교,초등학교,1948-04-15,공립,본교,운영,강원도 춘천시 동내면 신촌리  491,강원도 춘천시 동내면 동내로  131,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8511332,127.7662347,2017-09-05
강원도,춘천시,B000004856,남산초등학교,초등학교,1922-11-22,공립,본교,운영,강원도 춘천시 남산면 방곡리  126-2,강원도 춘천시 남산면 한치로  59,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.7928411,127.6456690,2017-09-05
강원도,춘천시,B000004857,춘천삼육초등학교,초등학교,1972-05-02,사립,본교,운영,강원도 춘천시 동면 장학리  568-1,강원도 춘천시 동면 방죽길  56-10,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.9110771,127.7536795,2017-09-05
강원도,춘천시,B000004858,송화초등학교,초등학교,1934-05-10,공립,본교,운영,강원도 춘천시 사북면 고탄리  126-1,,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.9876200,127.7076049,2017-09-05
강원도,춘천시,B000004859,광판초등학교,초등학교,1936-06-08,공립,본교,운영,강원도 춘천시 남산면 광판리  628,강원도 춘천시 남산면 김유정로  159-12,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.7306595,127.6988284,2017-09-05
강원도,춘천시,B000004860,추곡초등학교,초등학교,1963-03-01,공립,본교,운영,강원도 춘천시 북산면 추곡리  562,강원도 춘천시 북산면 북산로  34,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,38.0244674,127.8823459,2017-09-05
강원도,춘천시,B000004861,지촌초등학교지암분교장,초등학교,1941-01-01,공립,분교,운영,강원도 춘천시 사북면 지암리  308,강원도 춘천시 사북면 화악지암길  431,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.9812108,127.6071724,2017-09-05
강원도,춘천시,B000004862,남산초등학교서천분교장,초등학교,1941-07-01,공립,분교,운영,강원도 춘천시 남산면 백양리  431-2,강원도 춘천시 남산면 서백길  152,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8355819,127.5552102,2017-09-05
강원도,원주시,B000004863,중앙초등학교,초등학교,1969-04-21,공립,본교,운영,강원도 원주시 학성동  1260,강원도 원주시 남산로  181(학성동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3526483,127.9394677,2017-09-05
강원도,원주시,B000004864,만대초등학교,초등학교,2011-03-01,공립,본교,운영,강원도 원주시 무실동  1716-2,강원도 원주시 만대로  65(무실동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3392622,127.9205487,2017-09-05
강원도,원주시,B000004865,무실초등학교,초등학교,2005-03-01,공립,본교,운영,강원도 원주시 무실동  1652,강원도 원주시 만대로  155(무실동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3349529,127.9219003,2017-09-05
강원도,원주시,B000004866,반곡초등학교,초등학교,2008-05-23,공립,본교,운영,강원도 원주시 반곡동  1450-1,강원도 원주시 동부순환로  247(반곡동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3374089,127.9733128,2017-09-05
강원도,원주시,B000004867,(가칭)원주특수학교,초등학교,1946-12-19,공립,본교,운영,강원도 원주시 반곡동 301,강원도 원주시 봉대길 33(반곡동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2017-04-24,37.3320706,127.9938793,2017-09-05
강원도,원주시,B000004868,명륜초등학교,초등학교,1955-06-05,공립,본교,운영,강원도 원주시 개운동  389,강원도 원주시 행구로  25(개운동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3421140,127.9585678,2017-09-05
강원도,원주시,B000004869,단관초등학교,초등학교,2005-03-02,공립,본교,운영,강원도 원주시 관설동  1723,강원도 원주시 단관초교길  14(관설동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3174185,127.9637706,2017-09-05
강원도,원주시,B000004870,관설초등학교,초등학교,1969-04-01,공립,본교,운영,강원도 원주시 관설동  1277,강원도 원주시 치악로  1355(관설동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3086454,127.9761868,2017-09-05
강원도,원주시,B000004871,단계초등학교,초등학교,1963-12-12,공립,본교,운영,강원도 원주시 단계동  82,강원도 원주시 북원로  2387(단계동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3589012,127.9364248,2017-09-05
강원도,원주시,B000004872,북원초등학교,초등학교,1985-05-04,공립,본교,운영,강원도 원주시 단계동  796,강원도 원주시 단구로  60(단계동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3431961,127.9377300,2017-09-05
강원도,원주시,B000004873,평원초등학교,초등학교,1995-03-15,공립,본교,운영,강원도 원주시 단계동  814,강원도 원주시 금불2길  20(단계동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3500099,127.9311275,2017-09-05
강원도,원주시,B000004874,단구초등학교,초등학교,1935-09-05,공립,본교,운영,강원도 원주시 단구동  106,강원도 원주시 단구초교길  5(단구동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3224356,127.9639549,2017-09-05
강원도,원주시,B000004875,구곡초등학교,초등학교,2007-03-01,공립,본교,운영,강원도 원주시 단구동  982-1,강원도 원주시 늘품로  64(단구동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3249946,127.9527520,2017-09-05
강원도,원주시,B000004876,남원주초등학교,초등학교,1998-03-01,공립,본교,운영,강원도 원주시 단구동  1588-2,강원도 원주시 늘품로  28(단구동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3225023,127.9510211,2017-09-05
강원도,춘천시,B000004822,춘천교육대학교부설초등학교,초등학교,1939-05-01,국립,본교,운영,강원도 춘천시 효자동  420,강원도 춘천시 공지로  316(효자동),7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8690313,127.7314047,2017-09-05
강원도,춘천시,B000004823,춘천초등학교,초등학교,1906-09-01,공립,본교,운영,강원도 춘천시 중앙로3가  40,강원도 춘천시 방송길7번길  14-5(중앙로3가),7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8746434,127.7217340,2017-09-05
강원도,춘천시,B000004824,교동초등학교,초등학교,1954-10-20,공립,본교,운영,강원도 춘천시 교동  113-4,강원도 춘천시 교동길  29(교동),7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8806369,127.7371816,2017-09-05
강원도,춘천시,B000004825,효제초등학교,초등학교,1963-11-11,공립,본교,운영,강원도 춘천시 효자동  161-2,강원도 춘천시 효제길  40(효자동),7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8706642,127.7380295,2017-09-05
강원도,춘천시,B000004826,중앙초등학교,초등학교,1945-10-15,공립,본교,운영,강원도 춘천시 낙원동  82-1,강원도 춘천시 중앙로88번길  14(낙원동),7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,,37.8790186,127.7242409,2017-09-05
강원도,원주시,B000004882,일산초등학교,초등학교,1949-11-03,공립,본교,운영,강원도 원주시 일산동  278,강원도 원주시 일산초교길  1(일산동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3466276,127.9421071,2017-09-05
강원도,원주시,B000004877,교동초등학교,초등학교,1970-12-31,공립,본교,운영,강원도 원주시 명륜동 235,강원도 원주시 명륜로 9,7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2017-02-06,37.3384531,127.9469657,2017-09-05
강원도,원주시,B000004878,서원주초등학교,초등학교,2000-10-01,공립,본교,운영,강원도 원주시 명륜동  844,강원도 원주시 남원로469번길  61(명륜동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3269855,127.9398707,2017-09-05
강원도,원주시,B000004879,치악초등학교,초등학교,1992-03-12,공립,본교,운영,강원도 원주시 명륜동  709,강원도 원주시 한지공원길  77(명륜동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3318808,127.9394502,2017-09-05
