시도명,시군구명,의료기관종별,의료기관명,개설구분,개설일자,입원실,병상,연락처,응급의료센터지정,소재지도로명주소,소재지지번주소,경도,위도,데이터기준일자
강원도,강릉시,의원,청플러스비뇨기과의원,민간,02/01/2017,0,0,033-646-0182,N,강원도 강릉시 경강로 2110  3층 (임당동),강원도 강릉시 임당동 114번지 2호,128.897642,37.755512,03/28/2018
강원도,강릉시,의원,연세재활의학과의원,민간,01/17/2017,0,0,033-655-7522,N,강원도 강릉시 솔올로5번길 40  3층 (교동),강원도 강릉시 교동 1885-9,128.875374,37.765645,03/28/2018
강원도,강릉시,치과의원,화이트치과의원,민간,04/16/2004,0,0,033-641-8275,N,강원도 강릉시 교동광장로 137 (교동),강원도 강릉시 교1동 1861번지 2호,128.879949,37.764468,03/28/2018
강원도,강릉시,치과의원,관동치과의원,민간,05/08/1987,0,0,033-642-3342,N,강원도 강릉시 범일로 604 (내곡동),강원도 강릉시 내곡동 422번지 10호 하나로마트2층,128.880719,37.741279,03/28/2018
강원도,강릉시,치과의원,굿모닝치과의원,민간,05/03/2013,0,0,033-642-7528,N,강원도 강릉시 하평길 56  2층 (포남동  우호빌딩),강원도 강릉시 포남동 1193번지 1호,128.914283,37.770036,03/28/2018
강원도,강릉시,치과의원,김재구치과의원,민간,05/20/1988,0,0,033-643-5562,N,강원도 강릉시 경강로 2068 (성내동),강원도 강릉시 성내동 6번지 8호,128.893794,37.752984,03/28/2018
강원도,강릉시,치과의원,정원치과의원,민간,06/22/2012,0,0,033-644-4888,N,강원도 강릉시 교동광장로 106  5층 (교동  화영빌딩),강원도 강릉시 교동 1883번지 2호,128.876056,37.764416,03/28/2018
강원도,강릉시,치과의원,아라치과의원,민간,11/27/2012,0,0,033-644-7528,N,강원도 강릉시 솔올로 25 (교동),강원도 강릉시 교동 1882번지 3호,128.877597,37.764189,03/28/2018
강원도,강릉시,치과의원,영동치과의원,민간,06/11/2001,0,0,033-645-2875,N,강원도 강릉시 경강로 2106 (임당동),강원도 강릉시 임당동 117번지 2호,128.897235,37.755067,03/28/2018
강원도,강릉시,치과의원,제이치과의원,민간,01/03/2004,0,0,033-646-6513,N,강원도 강릉시 솔올로 17  3층 (교동  교동플라자),강원도 강릉시 교동 1888번지 2호,128.877218,37.762885,03/28/2018
강원도,강릉시,치과의원,최종운치과의원,민간,01/10/1998,0,0,033-647-7866,N,강원도 강릉시 경강로 2093-1 (임당동),강원도 강릉시 임당동 85번지 10호,128.895847,37.75478,03/28/2018
강원도,강릉시,치과의원,강릉바른이치과의원,민간,04/28/2014,0,0,033-648-0212,N,강원도 강릉시 경강로 2092 (금학동),강원도 강릉시 금학동 16-2,128.895898,37.754329,03/28/2018
강원도,강릉시,치과의원,행복이송송치과의원,민간,04/24/1989,0,0,033-648-2902,N,강원도 강릉시 신대학길 20 (금학동),강원도 강릉시 금학동 52번지 3호,128.895486,37.753044,03/28/2018
강원도,강릉시,치과의원,인성치과의원,민간,10/24/1982,0,0,033-651-8240,N,강원도 강릉시 성덕포남로 75  3층 (입암동  대성빌딩),강원도 강릉시 입암동 93번지 4호 대성빌딩3층,128.917323,37.760696,03/28/2018
강원도,강릉시,치과의원,한솔치과의원,민간,03/19/2013,0,0,033-652-2828,N,강원도 강릉시 하평3길 37  202호 (포남동  일송상가),강원도 강릉시 포남동 1293번지 1호,128.915181,37.772039,03/28/2018
강원도,강릉시,치과의원,연세치과의원,민간,05/10/1987,0,0,033-662-2248,N,강원도 강릉시 주문진읍 주문로 69,강원도 강릉시 주문진읍 교항리 190번지 9호,128.825734,37.890056,03/28/2018
강원도,강릉시,치과의원,윤덕기치과의원,민간,02/29/2016,0,0,033-662-4569,N,강원도 강릉시 주문진읍 주문로 67  1층,강원도 강릉시 주문진읍 교향리 190-7,128.825787,37.889713,03/28/2018
강원도,강릉시,치과의원,참조은장치과의원,민간,05/29/2014,0,0,033-655-7528,N,강원도 강릉시 옥가로7번길 2  1층 (옥천동),강원도 강릉시 옥천동 154번지 4호,128.898436,37.757706,03/28/2018
강원도,강릉시,치과의원,이승우치과의원,민간,04/06/1990,0,0,033-641-2208,N,강원도 강릉시 금성로 7 (성남동),강원도 강릉시 성남동 40번지 1호,128.899556,37.754643,03/28/2018
강원도,강릉시,치과의원,허치과의원,민간,08/30/1998,0,0,033-641-2875,N,강원도 강릉시 경강로 2084  3층 (임당동),강원도 강릉시 임당동 127번지 3호 3층,128.895365,37.754306,03/28/2018
강원도,강릉시,치과의원,중앙치과의원,민간,05/01/1990,0,0,033-641-6859,N,강원도 강릉시 금성로22번길 10 (금학동),강원도 강릉시 금학동 10번지 8호,128.897571,37.75474,03/28/2018
강원도,강릉시,치과의원,연세플러스치과의원,민간,11/18/2000,0,0,033-642-3142,N,강원도 강릉시 경강로 2117 (옥천동),강원도 강릉시 옥천동 188번지,128.897951,37.756142,03/28/2018
강원도,강릉시,치과의원,이가편한미치과의원,민간,04/27/2002,0,0,033-643-2275,N,강원도 강릉시 경강로 2097 (임당동),강원도 강릉시 임당동 86번지 원영빌딩4층,128.896087,37.754958,03/28/2018
강원도,강릉시,치과의원,김환준치과의원,민간,01/16/1998,0,0,033-643-2822,N,강원도 강릉시 경강로 2082 (임당동),강원도 강릉시 임당동 128번지 2호,128.895155,37.753839,03/28/2018
강원도,강릉시,치과의원,아이앤맘어린이치과의원,민간,02/27/2015,0,0,033-643-2827,N,강원도 강릉시 옥가로 21  2층 (옥천동  지산빌딩),강원도 강릉시 옥천동 283번지,128.899234,37.758025,03/28/2018
강원도,강릉시,치과의원,한은현치과의원,민간,06/13/1996,0,0,033-643-2875,N,강원도 강릉시 옥가로 55 (교동),강원도 강릉시 교2동 136번지 20호,128.899966,37.761317,03/28/2018
강원도,강릉시,치과의원,e플러스치과의원,민간,01/20/2010,0,0,033-643-8275,N,강원도 강릉시 경강로 2120  5층 (옥천동  씨네몰),강원도 강릉시 옥천동 189번지 씨네몰(5층),128.898163,37.755807,03/28/2018
강원도,강릉시,치과의원,소망치과의원,민간,10/23/2003,0,0,033-645-7525,N,강원도 강릉시 교동광장로 105 (교동),강원도 강릉시 교1동 1880번지 4호,128.876438,37.765044,03/28/2018
강원도,강릉시,치과의원,함치과의원,민간,03/10/1999,0,0,033-645-8275,N,강원도 강릉시 경강로 2105  3층 (임당동  동아빌딩),강원도 강릉시 임당동 87번지 3호,128.896918,37.75515,03/28/2018
강원도,강릉시,치과의원,강릉치과의원,민간,07/02/1993,0,0,033-647-1107,N,강원도 강릉시 경강로 2110  4층 (임당동  동아빌딩),강원도 강릉시 임당동 114번지 2호 동아프라자4층,128.897273,37.7554,03/28/2018
강원도,강릉시,치과의원,최근준치과의원,민간,05/06/1992,0,0,033-647-2800,N,강원도 강릉시 경강로 2108 (임당동),강원도 강릉시 임당동 116번지 4호 5층,128.897384,37.755219,03/28/2018
강원도,강릉시,종합병원,강릉아산병원,재단법인,07/30/1996,237,822,033-610-3114,Y,강원도 강릉시 사천면 방동길 38,강원도 강릉시 사천면 방동리 415번지,128.857854,37.818701,03/28/2018
강원도,강릉시,종합병원,의료법인 강릉동인병원,의료법인,06/18/1983,114,446,033-650-6113,Y,강원도 강릉시 강릉대로419번길 42 (포남동),강원도 강릉시 포남2동 1065번지 2호,128.907665,37.774638,03/28/2018
강원도,강릉시,종합병원,의산의료재단 강릉고려병원,의료법인,08/13/1991,56,201,033-642-1988,N,강원도 강릉시 옥가로 30 (옥천동),강원도 강릉시 옥천동 286번지 1호,128.90004,37.759001,03/28/2018
강원도,강릉시,종합병원,강원도강릉의료원,공립(지방의료원),07/01/1983,32,137,033-610-1200,Y,강원도 강릉시 경강로 2007 (남문동),강원도 강릉시 남문동 164번지 1호,128.888689,37.749338,03/28/2018
강원도,강릉시,병원,(의)아나의료재단 강릉아나병원,의료법인,07/04/2005,39,276,033-642-1100,N,강원도 강릉시 용지로 129 (옥천동),강원도 강릉시 옥천동 326번지,128.902986,37.760429,03/28/2018
강원도,강릉시,병원,강릉율곡병원,민간,09/19/2007,22,184,033-655-1133,N,강원도 강릉시 동해대로3304번길 11 (난곡동),강원도 강릉시 난곡동 401번지 1호,128.873933,37.786561,03/28/2018
강원도,강릉시,병원,국군강릉병원,군병원,05/20/1994,23,180,033-662-7802,N,강원도 강릉시 주문진읍 동해대로 4371-34,강원도 강릉시 주문진읍 교항리 320번지,128.830838,37.868801,03/28/2018
강원도,강릉시,치과병원,강릉원주대학교치과병원,특수법인,11/21/1997,5,15,033-640-3114,N,강원도 강릉시 죽헌길 7 (지변동),강원도 강릉시 지변동 123번지 강릉원주대학교치과병원,128.869998,37.769516,03/28/2018
강원도,강릉시,일반요양병원,강릉연세요양병원,민간,10/04/1994,22,138,033-645-1400,N,강원도 강릉시 옥가로 70 (옥천동),강원도 강릉시 옥천동 317번지,128.90084,37.762265,03/28/2018
강원도,강릉시,일반요양병원,강원도립강릉요양병원,공립(시도립),02/23/2015,27,123,033-641-8402,N,강원도 강릉시 경강로 2007 (남문동),강원도 강릉시 남문동 164-1,128.888689,37.749338,03/28/2018
강원도,강릉시,일반요양병원,의료법인라파의료재단 예수요양병원,의료법인,11/28/2006,20,100,033-534-1391,N,강원도 강릉시 옥계면 현내시장길 34,강원도 강릉시 옥계면 현내리 311번지 2호,129.037753,37.612156,03/28/2018
강원도,강릉시,의원,이재홍정형외과의원,민간,07/15/1996,7,29,033-642-3459,N,강원도 강릉시 옥가로 57 (교동),강원도 강릉시 교2동 136번지 2호,128.899945,37.761461,03/28/2018
강원도,강릉시,의원,세가온산부인과의원,민간,09/07/2012,20,29,033-643-7114,N,강원도 강릉시 율곡로 2982-6 (교동),강원도 강릉시 교동 723번지 7호,128.892276,37.768286,03/28/2018
강원도,강릉시,의원,아이앤맘소아청소년과의원,민간,08/22/2014,14,24,033-645-7512,N,강원도 강릉시 옥가로 21  3 7층 (옥천동),강원도 강릉시 옥천동 283,128.898988,37.758351,03/28/2018
강원도,강릉시,의원,갈바리의원,재단법인,03/14/1966,9,15,033-644-4992,N,강원도 강릉시 임영로163번길 24-8 (홍제동),강원도 강릉시 홍제동 5-2,128.888764,37.755608,03/28/2018
강원도,강릉시,의원,아이앤맘산부인과의원,민간,11/19/2014,10,10,033-648-8114,N,강원도 강릉시 옥가로 21  4 5층 (옥천동),강원도 강릉시 옥천동 283,128.898988,37.758351,03/28/2018
강원도,강릉시,의원,연세항운외과의원,민간,03/24/2006,0,9,033-648-9768,N,강원도 강릉시 경강로 2110  4층 (임당동  동아빌딩),강원도 강릉시 임당동 114번지 2호 동아프라자 4층,128.897273,37.7554,03/28/2018
강원도,강릉시,의원,행복누리산부인과의원,민간,06/01/2000,7,7,033-641-6680,N,강원도 강릉시 경강로 2109 (임당동),강원도 강릉시 임당동 112번지 1호 문선빌딩5층,128.897174,37.75568,03/28/2018
